Dice_coefficient,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/C,config/penalty,config/loss,config/multi_class,logdir
0.8472161195180312,1711631338,,False,1,9ed36_00135,2024-03-28_14-08-58,661.2683990001678,661.2683990001678,9184,PrF-NB-PoselHP1,127.0.0.1,661.2683990001678,1,0.5,l2,hinge,crammer_singer,9ed36_00135
0.8472124498535142,1711580353,,False,1,9ed36_00049,2024-03-27_23-59-13,526.6492776870728,526.6492776870728,9184,PrF-NB-PoselHP1,127.0.0.1,526.6492776870728,1,0.125,l1,hinge,crammer_singer,9ed36_00049
0.8472068395681276,1711630676,,False,1,9ed36_00133,2024-03-28_13-57-56,486.47891497612,486.47891497612,9184,PrF-NB-PoselHP1,127.0.0.1,486.47891497612,1,0.125,l2,hinge,crammer_singer,9ed36_00133
0.847196222236636,1711630743,,False,1,9ed36_00134,2024-03-28_13-59-03,536.5046546459198,536.5046546459198,3372,PrF-NB-PoselHP1,127.0.0.1,536.5046546459198,1,0.25,l2,hinge,crammer_singer,9ed36_00134
0.8471932870667989,1711598610,,False,1,9ed36_00071,2024-03-28_05-03-30,517.3746764659882,517.3746764659882,14908,PrF-NB-PoselHP1,127.0.0.1,517.3746764659882,1,0.25,l1,squared_hinge,crammer_singer,9ed36_00071
0.8471874962880266,1711599980,,False,1,9ed36_00073,2024-03-28_05-26-20,758.0928745269775,758.0928745269775,14908,PrF-NB-PoselHP1,127.0.0.1,758.0928745269775,1,1.0,l1,squared_hinge,crammer_singer,9ed36_00073
0.8471849716223923,1711580493,,False,1,9ed36_00051,2024-03-28_00-01-33,633.1588897705078,633.1588897705078,14908,PrF-NB-PoselHP1,127.0.0.1,633.1588897705078,1,0.5,l1,hinge,crammer_singer,9ed36_00051
0.8471824136143773,1711654457,,False,1,9ed36_00157,2024-03-28_20-34-17,778.8395404815674,778.8395404815674,14908,PrF-NB-PoselHP1,127.0.0.1,778.8395404815674,1,1.0,l2,squared_hinge,crammer_singer,9ed36_00157
0.8471798715536528,1711580367,,False,1,9ed36_00050,2024-03-27_23-59-27,529.2386710643768,529.2386710643768,5268,PrF-NB-PoselHP1,127.0.0.1,529.2386710643768,1,0.25,l1,hinge,crammer_singer,9ed36_00050
0.8471796861558488,1711581521,,False,1,9ed36_00053,2024-03-28_00-18-41,1167.9272639751434,1167.9272639751434,9184,PrF-NB-PoselHP1,127.0.0.1,1167.9272639751434,1,2.0,l1,hinge,crammer_singer,9ed36_00053
0.8471150052932751,1711636850,,False,1,9ed36_00140,2024-03-28_15-40-50,3590.57666182518,3590.57666182518,3372,PrF-NB-PoselHP1,127.0.0.1,3590.57666182518,1,16.0,l2,hinge,crammer_singer,9ed36_00140
0.8470085682571492,1711581995,,False,1,9ed36_00054,2024-03-28_00-26-35,1627.7133090496063,1627.7133090496063,5268,PrF-NB-PoselHP1,127.0.0.1,1627.7133090496063,1,4.0,l1,hinge,crammer_singer,9ed36_00054
0.8468839130236959,1711659471,,False,1,9ed36_00160,2024-03-28_21-57-51,2376.315135240555,2376.315135240555,14908,PrF-NB-PoselHP1,127.0.0.1,2376.315135240555,1,8.0,l2,squared_hinge,crammer_singer,9ed36_00160
0.8466531080947898,1711664718,,False,1,9ed36_00162,2024-03-28_23-25-18,5246.847868442535,5246.847868442535,14908,PrF-NB-PoselHP1,127.0.0.1,5246.847868442535,1,32.0,l2,squared_hinge,crammer_singer,9ed36_00162
0.8466055604913092,1711633260,,False,1,9ed36_00138,2024-03-28_14-41-00,1674.9938433170319,1674.9938433170319,3372,PrF-NB-PoselHP1,127.0.0.1,1674.9938433170319,1,4.0,l2,hinge,crammer_singer,9ed36_00138
0.8464871204013171,1711603653,,False,1,9ed36_00076,2024-03-28_06-27-33,2372.741384744644,2372.741384744644,13956,PrF-NB-PoselHP1,127.0.0.1,2372.741384744644,1,8.0,l1,squared_hinge,crammer_singer,9ed36_00076
0.846419808011702,1711621129,,False,1,9ed36_00105,2024-03-28_11-18-49,419.1939449310303,419.1939449310303,3372,PrF-NB-PoselHP1,127.0.0.1,419.1939449310303,1,0.0009765625,l2,squared_hinge,ovr,9ed36_00105
0.8464158505372369,1711621549,,False,1,9ed36_00106,2024-03-28_11-25-49,420.06446981430054,420.06446981430054,3372,PrF-NB-PoselHP1,127.0.0.1,420.06446981430054,1,0.001953125,l2,squared_hinge,ovr,9ed36_00106
0.8464092579923924,1711578018,,False,1,9ed36_00030,2024-03-27_23-20-18,445.85428524017334,445.85428524017334,13956,PrF-NB-PoselHP1,127.0.0.1,445.85428524017334,1,0.5,l1,squared_hinge,ovr,9ed36_00030
0.8464078823323108,1711578464,,False,1,9ed36_00034,2024-03-27_23-27-44,446.46632623672485,446.46632623672485,13956,PrF-NB-PoselHP1,127.0.0.1,446.46632623672485,1,8.0,l1,squared_hinge,ovr,9ed36_00034
0.8464077526304543,1711578913,,False,1,9ed36_00040,2024-03-27_23-35-13,440.72080659866333,440.72080659866333,14908,PrF-NB-PoselHP1,127.0.0.1,440.72080659866333,1,512.0,l1,squared_hinge,ovr,9ed36_00040
0.8464075617780247,1711578466,,False,1,9ed36_00031,2024-03-27_23-27-46,450.4193751811981,450.4193751811981,5268,PrF-NB-PoselHP1,127.0.0.1,450.4193751811981,1,1.0,l1,squared_hinge,ovr,9ed36_00031
0.8464075391614618,1711578464,,False,1,9ed36_00033,2024-03-27_23-27-44,446.7888398170471,446.7888398170471,9184,PrF-NB-PoselHP1,127.0.0.1,446.7888398170471,1,4.0,l1,squared_hinge,ovr,9ed36_00033
0.8464069275788237,1711578912,,False,1,9ed36_00038,2024-03-27_23-35-12,448.09115171432495,448.09115171432495,13956,PrF-NB-PoselHP1,127.0.0.1,448.09115171432495,1,128.0,l1,squared_hinge,ovr,9ed36_00038
0.8464068108530759,1711621972,,False,1,9ed36_00107,2024-03-28_11-32-52,422.3508949279785,422.3508949279785,3372,PrF-NB-PoselHP1,127.0.0.1,422.3508949279785,1,0.00390625,l2,squared_hinge,ovr,9ed36_00107
0.8464066633963644,1711578016,,False,1,9ed36_00032,2024-03-27_23-20-16,449.2725944519043,449.2725944519043,5268,PrF-NB-PoselHP1,127.0.0.1,449.2725944519043,1,2.0,l1,squared_hinge,ovr,9ed36_00032
0.8464061859759454,1711578911,,False,1,9ed36_00037,2024-03-27_23-35-11,447.38293623924255,447.38293623924255,9184,PrF-NB-PoselHP1,127.0.0.1,447.38293623924255,1,64.0,l1,squared_hinge,ovr,9ed36_00037
0.8464058690810876,1711578910,,False,1,9ed36_00039,2024-03-27_23-35-10,443.56221771240234,443.56221771240234,5268,PrF-NB-PoselHP1,127.0.0.1,443.56221771240234,1,256.0,l1,squared_hinge,ovr,9ed36_00039
0.8464057777018869,1711579359,,False,1,9ed36_00041,2024-03-27_23-42-39,448.90943145751953,448.90943145751953,5268,PrF-NB-PoselHP1,127.0.0.1,448.90943145751953,1,1024.0,l1,squared_hinge,ovr,9ed36_00041
0.8464054901890337,1711577572,,False,1,9ed36_00035,2024-03-27_23-12-52,456.12847113609314,456.12847113609314,13956,PrF-NB-PoselHP1,127.0.0.1,456.12847113609314,1,16.0,l1,squared_hinge,ovr,9ed36_00035
0.8464050055101829,1711578472,,False,1,9ed36_00036,2024-03-27_23-27-52,454.28635263442993,454.28635263442993,14908,PrF-NB-PoselHP1,127.0.0.1,454.28635263442993,1,32.0,l1,squared_hinge,ovr,9ed36_00036
0.8464045448949885,1711623232,,False,1,9ed36_00110,2024-03-28_11-53-52,420.85702896118164,420.85702896118164,3372,PrF-NB-PoselHP1,127.0.0.1,420.85702896118164,1,0.03125,l2,squared_hinge,ovr,9ed36_00110
0.8464038654330627,1711578018,,False,1,9ed36_00028,2024-03-27_23-20-18,451.03118419647217,451.03118419647217,14908,PrF-NB-PoselHP1,127.0.0.1,451.03118419647217,1,0.125,l1,squared_hinge,ovr,9ed36_00028
