Dice_coefficient,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/C,config/gamma,config/kernel,logdir
0.8496360182762146,1712276903,,False,1,fc101_00007,2024-04-05_02-28-23,3239.7062344551086,3239.7062344551086,2330,PrF-NB-PoselHP1,172.23.216.162,3239.7062344551086,1,0.015625,0.015625,rbf,fc101_00007
0.8465575575828552,1712259835,,False,1,fc101_00002,2024-04-04_21-43-55,3311.063752412796,3311.063752412796,2330,PrF-NB-PoselHP1,172.23.216.162,3311.063752412796,1,0.25,0.0009765625,rbf,fc101_00002
0.8460008502006531,1712279708,,False,1,fc101_00008,2024-04-05_03-15-08,2804.3471353054047,2804.3471353054047,2330,PrF-NB-PoselHP1,172.23.216.162,2804.3471353054047,1,0.25,0.015625,rbf,fc101_00008
0.8424618244171143,1712256523,,False,1,fc101_00001,2024-04-04_20-48-43,3958.565210580826,3958.565210580826,2330,PrF-NB-PoselHP1,172.23.216.162,3958.565210580826,1,0.015625,0.0009765625,rbf,fc101_00001
0.8405582904815674,1712262992,,False,1,fc101_00003,2024-04-04_22-36-32,3157.27330160141,3157.27330160141,2330,PrF-NB-PoselHP1,172.23.216.162,3157.27330160141,1,4.0,0.0009765625,rbf,fc101_00003
0.8380480408668518,1712282416,,False,1,fc101_00009,2024-04-05_04-00-16,2707.8993198871613,2707.8993198871613,2330,PrF-NB-PoselHP1,172.23.216.162,2707.8993198871613,1,4.0,0.015625,rbf,fc101_00009
0.8334528207778931,1712266203,,False,1,fc101_00004,2024-04-04_23-30-03,3210.7847051620483,3210.7847051620483,2330,PrF-NB-PoselHP1,172.23.216.162,3210.7847051620483,1,64.0,0.0009765625,rbf,fc101_00004
0.831143319606781,1712269391,,False,1,fc101_00005,2024-04-05_00-23-11,3188.539867401123,3188.539867401123,2330,PrF-NB-PoselHP1,172.23.216.162,3188.539867401123,1,1024.0,0.0009765625,rbf,fc101_00005
0.821118175983429,1712273664,,False,1,fc101_00006,2024-04-05_01-34-24,4272.123261213303,4272.123261213303,2330,PrF-NB-PoselHP1,172.23.216.162,4272.123261213303,1,0.0009765625,0.015625,rbf,fc101_00006
0.8137465715408325,1712285577,,False,1,fc101_00010,2024-04-05_04-52-57,3161.263594388962,3161.263594388962,2330,PrF-NB-PoselHP1,172.23.216.162,3161.263594388962,1,64.0,0.015625,rbf,fc101_00010
0.8101223111152649,1712308577,,False,1,fc101_00014,2024-04-05_11-16-17,3402.3344764709473,3402.3344764709473,2330,PrF-NB-PoselHP1,172.23.216.162,3402.3344764709473,1,0.25,0.25,rbf,fc101_00014
