n_clusters,mean,std
1,0.786189659,0.127812287
2,1.218263321,0.133120173
3,1.703644603,0.546651707
6,1.820906487,0.507262653
10,2.187286362,0.46744409
15,2.638414829,0.507950176
25,3.172330251,0.539764569
39,4.152235347,0.475441809
63,5.607849316,0.590991178
100,9.841891044,1.060044058
158,15.15472042,1.458456672
251,22.2830696,2.039226586
398,37.91362244,3.348392527
630,56.05834338,4.916583769
1000,86.65597856,6.782817019
1584,132.4658294,8.027801039
