n_clusters,mean,std
1,0.829291799996281,0.22656363718514583
2,1.065091589995427,0.07276663987453584
3,1.5437823100044625,0.3942041790982444
6,2.2675067500036676,1.2472951078607692
10,3.044615909998538,1.1502997965147819
15,3.0351739200006707,0.8367804227568395
25,4.2464933599956565,0.8139611427060472
39,6.553763520001667,2.1247091721052778
63,14.11987383000087,4.198277038986793
100,19.860081130004254,7.636635863976164
158,30.791424420007388,8.442947150264727
251,46.1166674099979,11.763810414533763
398,71.19279831999738,16.39704002713549
630,115.17806174000725,17.577248733325973
1000,178.26262859000127,40.61256297519526
1584,234.5758768599946,27.93573718199867
