names,Dice_coefficient
2023_12_14_image_000,0.8389352165284293
2023_12_14_image_001,0.8273173387198929
2023_12_14_image_002,0.8536865500188826
2023_12_14_image_003,0.85727500424677
2023_12_14_image_004,0.8436672588562715
2023_12_14_image_005,0.8573317588747392
2023_12_14_image_006,0.8610795414914909
2023_12_14_image_007,0.8595619495718531
2023_12_14_image_008,0.8535296795084539
2023_12_14_image_009,0.8508119364508495
2023_12_14_image_010,0.8499906373263227
2023_12_14_image_011,0.8412020023910364
2023_12_14_image_012,0.8573316528954269
2023_12_14_image_013,0.8525199820650217
2023_12_14_image_014,0.8402832493511992
2023_12_14_image_015,0.78842545558769
2023_12_14_image_016,0.8614275055477633
2023_12_14_image_017,0.8575918368439748
2023_12_14_image_018,0.8575847506649511
2023_12_14_image_019,0.8264363002788739
2023_12_14_image_020,0.7175363029487336
2023_12_14_image_021,0.6806421403578201
2023_12_14_image_022,0.6471547671219312
2023_12_14_image_023,0.6820257862224758
2023_12_14_image_024,0.8337610158960492
2023_12_14_image_025,0.859048174379302
2023_12_14_image_026,0.8347002660095658
2023_12_14_image_027,0.7726770541972998
2023_12_14_image_028,0.8686747639172788
2023_12_14_image_029,0.8706051733751813
2023_12_14_image_030,0.83566481601079
2023_12_14_image_031,0.8520592162487919
2023_12_14_image_032,0.8572230000994675
2023_12_14_image_033,0.8469506627467039
2023_12_14_image_034,0.8505235027147355
2023_12_14_image_035,0.8714031354127401
2023_12_14_image_036,0.8528015711357844
2023_12_14_image_037,0.8366038991220401
2023_12_14_image_038,0.8435153183753911
2023_12_14_image_039,0.8343836726820294
2023_12_14_image_040,0.8530546134499302
2023_12_14_image_041,0.8315644610442939
2023_12_14_image_042,0.7716104861840399
2023_12_14_image_043,0.8249324463009166
2023_12_14_image_044,0.8319297467478357
2023_12_14_image_045,0.7901790265521199
2023_12_14_image_046,0.8487162551309654
2023_12_14_image_047,0.8419477418845687
2023_12_14_image_048,0.8556660935284218
2023_12_14_image_049,0.8658759330191499
