names,Dice_coefficient
2023_12_14_image_000,0.8423818583498496
2023_12_14_image_001,0.8364127240444083
2023_12_14_image_002,0.8619980281524761
2023_12_14_image_003,0.8409045842108213
2023_12_14_image_004,0.8470162757244921
2023_12_14_image_005,0.8614348179665684
2023_12_14_image_006,0.8622550987646362
2023_12_14_image_007,0.8619098155517845
2023_12_14_image_008,0.858981641428512
2023_12_14_image_009,0.8548377259602917
2023_12_14_image_010,0.8494747173991174
2023_12_14_image_011,0.8387644676798387
2023_12_14_image_012,0.8587678797347634
2023_12_14_image_013,0.8648263133464731
2023_12_14_image_014,0.837585086006316
2023_12_14_image_015,0.7841836059922968
2023_12_14_image_016,0.8670689450739758
2023_12_14_image_017,0.874604034233568
2023_12_14_image_018,0.873130835604402
2023_12_14_image_019,0.82605762157402
2023_12_14_image_020,0.7239947240900957
2023_12_14_image_021,0.6319332872927871
2023_12_14_image_022,0.6340815581594267
2023_12_14_image_023,0.6831163841027966
2023_12_14_image_024,0.8318619374374858
2023_12_14_image_025,0.8464791498272324
2023_12_14_image_026,0.7792806503352305
2023_12_14_image_027,0.7228793150120656
2023_12_14_image_028,0.8799682672403467
2023_12_14_image_029,0.8701683036657432
2023_12_14_image_030,0.8325019386319991
2023_12_14_image_031,0.8515078643486452
2023_12_14_image_032,0.8640177233964775
2023_12_14_image_033,0.8594112189879618
2023_12_14_image_034,0.8593606876247416
2023_12_14_image_035,0.8717528966929128
2023_12_14_image_036,0.8489971901406738
2023_12_14_image_037,0.844724507146732
2023_12_14_image_038,0.8414102196061871
2023_12_14_image_039,0.8365892766517157
2023_12_14_image_040,0.856538820516442
2023_12_14_image_041,0.8358497532798314
2023_12_14_image_042,0.767168409337018
2023_12_14_image_043,0.8322765113022866
2023_12_14_image_044,0.8264327069231595
2023_12_14_image_045,0.8265368807040728
2023_12_14_image_046,0.8574520970620094
2023_12_14_image_047,0.8494795315093668
2023_12_14_image_048,0.8525072448543992
2023_12_14_image_049,0.8679475435463065
