names,Dice_coefficient
2023_12_14_image_000,0.8465207704062037
2023_12_14_image_001,0.7887652574144952
2023_12_14_image_002,0.7918903742947406
2023_12_14_image_003,0.828682727788566
2023_12_14_image_004,0.7997832817996455
2023_12_14_image_005,0.8431641841879288
2023_12_14_image_006,0.8573073679438235
2023_12_14_image_007,0.8081793433221126
2023_12_14_image_008,0.8427288744105073
2023_12_14_image_009,0.8300789613704564
2023_12_14_image_010,0.7992606178324295
2023_12_14_image_011,0.7724803276739066
2023_12_14_image_012,0.8337599978530092
2023_12_14_image_013,0.833272149651412
2023_12_14_image_014,0.8564760112969415
2023_12_14_image_015,0.7922808646345408
2023_12_14_image_016,0.8616357071874147
2023_12_14_image_017,0.8405162523854228
2023_12_14_image_018,0.8473160940475831
2023_12_14_image_019,0.8339663911967218
2023_12_14_image_020,0.22831883287776522
2023_12_14_image_021,0.18087102684723763
2023_12_14_image_022,0.4593090685504177
2023_12_14_image_023,0.6218532787384182
2023_12_14_image_024,0.8260126638913702
2023_12_14_image_025,0.8027119330197267
2023_12_14_image_026,0.7579908445988995
2023_12_14_image_027,0.7628195437908903
2023_12_14_image_028,0.84734498296624
2023_12_14_image_029,0.8487757348982564
2023_12_14_image_030,0.8653775886762155
2023_12_14_image_031,0.8695503687614655
2023_12_14_image_032,0.8437254262058543
2023_12_14_image_033,0.8217733310370372
2023_12_14_image_034,0.840428328276491
2023_12_14_image_035,0.8769029802159585
2023_12_14_image_036,0.8558355388055882
2023_12_14_image_037,0.8426709990439579
2023_12_14_image_038,0.8543368963478826
2023_12_14_image_039,0.8312072094810885
2023_12_14_image_040,0.8518268809471583
2023_12_14_image_041,0.8273512027492718
2023_12_14_image_042,0.8454700795635489
2023_12_14_image_043,0.8041391859935691
2023_12_14_image_044,0.8545875692316726
2023_12_14_image_045,0.7927469301004813
2023_12_14_image_046,0.7855658483365159
2023_12_14_image_047,0.8065819028404072
2023_12_14_image_048,0.8365918155546505
2023_12_14_image_049,0.8544433812374758
