laplace,butterworth_R,butterworth_G,IE_FHSABP_G,IE_FHSABP_R,IE_FHSABP_B,butterworth_B,IE_GHE_R,IE_GHE_G,HSV_equalized_R,HSV_equalized_G,Lab_equalized_R,IE_GHE_B,HSV_equalized_B,IE_DSIHE_R,Lab_equalized_G,IE_DSIHE_G,Lab_A,YCrCb_Cr,IE_DSIHE_B,target
0.029911567,-0.13174073,-0.107980629,0.003690888,0.000230681,0.000922722,-0.118361238,0.054671285,0.058131491,0.05720877,0.060668976,0.059976936,0.055363326,0.057900811,0.101730112,0.082122261,0.107266444,0.491810869,0.490426788,0.103806236,1
0.075326795,-0.052584664,-0.059324858,0.003676471,0.005759804,0.002696079,-0.105403327,0.080514707,0.078431375,0.081985294,0.079901962,0.100245105,0.073651966,0.075000005,0.146568635,0.096078442,0.144362753,0.496201011,0.508946106,0.135539223,1
0.005283224,-0.35051779,-0.282543913,0.0,0.0,0.0,-0.21457006,0.00130719,0.00130719,0.003431373,0.003431373,0.0,0.005228759,0.007352942,0.006862746,0.038071897,0.00751634,0.493300681,0.462745131,0.011437909,1
0.209150315,-0.209934889,-0.165229006,0.0,0.0,0.002352941,-0.112287817,0.032941178,0.035686276,0.034901962,0.037647061,0.008235295,0.040784316,0.042745101,0.061568631,0.06039216,0.06666667,0.496862776,0.474901992,0.074509807,1
0.02896153,0.027453604,0.019871908,0.00888889,0.011067539,0.007843138,-0.077470116,0.134117654,0.131939004,0.138039224,0.135860574,0.177603495,0.117472777,0.120174301,0.245403062,0.176732034,0.242352956,0.487843164,0.513464084,0.214640538,1
0.016709291,-0.113055853,-0.10742926,0.003069054,0.001193521,0.0,-0.121922006,0.056265989,0.058141521,0.058994036,0.060869568,0.07468031,0.055072468,0.057800515,0.105711858,0.080818415,0.107757893,0.497527737,0.50042629,0.104518337,1
-0.098184546,0.024813438,0.0038984,0.005228759,0.009150328,0.005228759,-0.103726907,0.115032687,0.109803931,0.115904147,0.11067539,0.130283232,0.095860576,0.096732035,0.206971696,0.120697176,0.200000016,0.490631837,0.521132924,0.173856213,1
-0.079263215,-0.157271685,-0.128394676,0.001069519,0.0,0.003565063,-0.113421406,0.038502676,0.039572194,0.0399287,0.040998219,0.035650627,0.042424245,0.04385027,0.071301252,0.069162215,0.074153302,0.494474181,0.485918032,0.077718363,1
0.052881755,-0.275410397,-0.221577934,0.0,0.0,0.0,-0.162397894,0.014616757,0.016042782,0.016755794,0.019251338,0.0,0.019964351,0.023172907,0.030303032,0.049554372,0.033155082,0.495543701,0.470944774,0.038502676,1
0.007233115,-0.130516675,-0.068381594,0.0,0.0,0.003921569,-0.0473794,0.044008717,0.047930289,0.046361661,0.05028323,0.007494554,0.051851857,0.054204797,0.082440087,0.076688457,0.091067544,0.48470591,0.469368225,0.095424845,1
-0.053708506,-0.02161684,-0.033381533,0.004944587,0.007502132,0.004262575,-0.112324463,0.093606146,0.090707592,0.095822686,0.092924134,0.11321399,0.081670929,0.083716965,0.170161983,0.106564373,0.166410919,0.492583149,0.514066527,0.149701624,1
0.076089395,0.016937261,0.009911119,0.005228759,0.006862746,0.004084968,-0.060840493,0.100817002,0.099183015,0.10228759,0.100653603,0.118790858,0.090032683,0.091176475,0.18382354,0.116830074,0.181209158,0.492320293,0.51160134,0.16584968,1
