laplace,butterworth_R,butterworth_G,IE_FHSABP_G,IE_FHSABP_R,IE_FHSABP_B,butterworth_B,IE_GHE_R,IE_GHE_G,HSV_equalized_R,HSV_equalized_G,Lab_equalized_R,IE_GHE_B,HSV_equalized_B,IE_DSIHE_R,Lab_equalized_G,IE_DSIHE_G,Lab_A,YCrCb_Cr,IE_DSIHE_B,target
0.039733233,0.092497218,0.049140989,0.0627451,0.06666667,0.051119742,-0.092334055,0.627451,0.596874712,0.6313726,0.600816171,0.579834813,0.507116593,0.510819174,0.97647065,0.541196406,0.93124321,0.494336651,0.537234994,0.791639368,0
-0.05768392,0.069824791,0.041736979,0.023529414,0.027283394,0.019607844,-0.108053511,0.28902298,0.278531948,0.292776952,0.282285915,0.358236989,0.233685283,0.236433732,0.550594963,0.341444621,0.532294305,0.487548208,0.527166096,0.446857752,0
0.041835366,0.075478876,0.072443532,0.16862746,0.17254902,0.143086852,-0.083633778,1.0,0.993807267,1.0,0.996004158,0.999676302,0.840887326,0.840887326,1.0,0.997314897,0.993807267,0.477932583,0.517381768,0.840887326,0
0.039125299,0.149386054,0.104684346,0.023529414,0.027450982,0.019607844,-0.032987723,0.2901961,0.274822713,0.29411766,0.278744288,0.271109735,0.233145616,0.23602421,0.5529412,0.244347118,0.524405527,0.494931195,0.536295375,0.445598704,0
-0.038340012,0.084735775,0.034821447,0.055777655,0.05988959,0.044850564,-0.11895732,0.576622927,0.545783376,0.580544484,0.549209999,0.461069896,0.455092362,0.458290534,0.97647065,0.425395033,0.925528326,0.494764928,0.539425103,0.772777526,0
-0.021584341,0.09943985,0.078106525,0.003921569,0.007843138,0.003921569,-0.033736653,0.112941186,0.108517655,0.114729422,0.110274518,0.130572555,0.093741186,0.095341186,0.215843153,0.119686283,0.20840786,0.490635322,0.52213336,0.180705889,0
-0.060814866,0.072473733,0.045609159,0.02697453,0.030749497,0.022943011,-0.111180263,0.319882726,0.308960977,0.320505778,0.309584031,0.40897933,0.257137628,0.257724031,0.605717452,0.391533827,0.586512763,0.485944686,0.527286073,0.487777199,0
-0.000680321,0.091753869,0.062524334,0.09411766,0.098039225,0.078467821,-0.088871513,0.8117648,0.785159342,0.8117648,0.785159342,0.845681242,0.662526438,0.662526438,0.98823535,0.817989707,0.957416783,0.487251286,0.527188587,0.807653691,0
0.018930927,0.09829838,0.058487456,0.026015408,0.029866948,0.022093839,-0.084999919,0.311939787,0.296673683,0.313445386,0.298354353,0.311519619,0.250770317,0.251820737,0.591596663,0.286624661,0.564110665,0.492647087,0.534418784,0.476575663,0
0.001260074,0.086211628,0.050776202,0.07450981,0.078431375,0.06023671,-0.109266165,0.6901961,0.665006203,0.6901961,0.665006203,0.698993128,0.550680119,0.550680119,0.9803922,0.667161312,0.943684922,0.48906556,0.533298031,0.783501216,0
-0.056644916,0.024922861,0.013158154,0.004481793,0.007376285,0.003921569,-0.074797062,0.094864621,0.091876756,0.097198889,0.094211026,0.113258646,0.081792718,0.083940243,0.181139132,0.107469663,0.17721756,0.4908497,0.51512608,0.157796457,0
0.040626837,0.096998322,0.063085672,0.07450981,0.078431375,0.062700537,-0.086156725,0.6901961,0.66457221,0.6901961,0.66457221,0.72295012,0.558912697,0.558912697,0.9803922,0.692557953,0.94429597,0.489839596,0.531149764,0.793404709,0
0.02254904,0.124129242,0.085240352,0.017728759,0.02140523,0.015359478,-0.058141977,0.247957525,0.235784329,0.247957525,0.235784329,0.254697727,0.198161779,0.198161779,0.46887258,0.233415051,0.447508202,0.492156891,0.533660146,0.376552308,0
-0.070193621,0.073957016,0.028008072,0.048982618,0.052904185,0.040621534,-0.124119168,0.527192028,0.500258998,0.528153918,0.5011469,0.449648567,0.418867958,0.419385901,0.97351099,0.41635222,0.926156175,0.493673725,0.537402892,0.775360778,0
0.02679353,0.118484818,0.073086892,0.043137256,0.04705883,0.035305654,-0.074352529,0.45882356,0.434948129,0.46274513,0.439204186,0.400622871,0.365340269,0.367324118,0.86666673,0.366978094,0.823195009,0.494267622,0.5372549,0.689815467,0
-0.026534231,0.07874977,0.039534084,0.019404126,0.023325696,0.015686275,-0.099961688,0.261522794,0.248943224,0.261522794,0.248994153,0.26875479,0.2098294,0.2098294,0.495594635,0.246142112,0.473491247,0.492691651,0.533638929,0.401426058,0
-0.040784311,-0.115479173,-0.095087019,0.002156863,0.000196078,0.002156863,-0.093518375,0.045686279,0.048235299,0.048039221,0.05058824,0.055882356,0.048235298,0.05058824,0.088823534,0.077450983,0.092941182,0.495098073,0.491568657,0.092941182,0
0.016816795,0.08583532,0.048871889,0.047138321,0.050980397,0.039295179,-0.103353839,0.5137255,0.491706438,0.5137255,0.491706438,0.535956571,0.412321176,0.412321176,0.9725491,0.507631189,0.934340287,0.4902226,0.533333357,0.783359897,0
-0.006304954,0.086572536,0.074681835,0.11024491,0.1137255,0.091188287,-0.090386258,0.8705883,0.858366864,0.8705883,0.858366864,0.966611603,0.714276735,0.714276735,0.9921569,0.955665875,0.978785798,0.479596848,0.52125367,0.815198124,0
0.020342548,0.097154441,0.059684854,0.1066266,0.1137255,0.09019608,-0.09236893,0.8705883,0.835723559,0.8705883,0.835723559,0.830055884,0.704308028,0.704308028,0.9921569,0.795591879,0.952769495,0.490510974,0.533734099,0.802633542,0
0.011357459,0.096068972,0.063580348,0.164728514,0.17254902,0.137420823,-0.090552352,1.0,0.966395233,1.0,0.966395233,0.898144859,0.813371127,0.813371127,1.0,0.86666673,0.966395233,0.488506813,0.530527936,0.813371127,0
0.00062564,0.127835063,0.083278725,0.011764707,0.015686275,0.011764707,-0.051534732,0.18823531,0.176821557,0.19215688,0.180727859,0.19087512,0.14979782,0.153017475,0.35686275,0.168673237,0.338170445,0.495552027,0.53601893,0.286549184,0
-0.046623139,0.021675067,0.006134035,0.004066812,0.007770516,0.003994191,-0.097932811,0.108714605,0.104720414,0.110965877,0.106971685,0.125925932,0.091648518,0.093609304,0.207915776,0.118228041,0.202178666,0.490123484,0.518082815,0.17719681,0
-0.005748672,0.092808389,0.052924256,0.007843138,0.011764707,0.007843138,-0.073947431,0.142780759,0.134893055,0.146702323,0.138770062,0.159001788,0.115062399,0.117825322,0.273796813,0.138324428,0.259803931,0.495053507,0.53235296,0.221925151,0
-0.006450683,0.083070047,0.038995028,0.048081848,0.052003415,0.040210289,-0.106813417,0.52088663,0.495822701,0.521398137,0.496476297,0.470076754,0.417703925,0.418044931,0.973060607,0.437510679,0.927479457,0.493975592,0.536260309,0.783177107,0
-0.022222221,-0.017426968,-0.000153375,0.003828198,0.000280112,0.0,-0.037408274,0.059663869,0.063211954,0.061437911,0.064985997,0.071895428,0.058543421,0.060317463,0.117366956,0.087675071,0.122035488,0.488982286,0.496451944,0.113632129,0
-0.079589671,0.058992671,0.026577679,0.011764707,0.015686275,0.011764707,-0.117080779,0.183370578,0.175130311,0.187093584,0.178803677,0.20615539,0.146537607,0.149714575,0.348423929,0.192206516,0.334276504,0.489997544,0.529957827,0.280863752,0
0.006111265,0.081500459,0.047877567,0.04710847,0.050980397,0.039265328,-0.104219701,0.5137255,0.493157968,0.5137255,0.493157968,0.570828199,0.414031635,0.414031635,0.9725491,0.545462095,0.936560004,0.489070927,0.531562867,0.786828893,0
-0.092031232,0.074756628,0.030261909,0.016968326,0.020814481,0.013499247,-0.117777313,0.239969845,0.226847678,0.239969845,0.226847678,0.226395192,0.189140283,0.189140283,0.453846183,0.203318265,0.43024136,0.493665188,0.536500763,0.35950228,0
0.008278885,0.089427474,0.044737933,0.063888891,0.06789216,0.05187909,-0.111389487,0.633986948,0.603758188,0.637500048,0.607271261,0.558578464,0.502124214,0.504983687,0.976879145,0.521977154,0.930719009,0.492483688,0.5374183,0.776062156,0
0.010328225,0.119003496,0.078322621,0.081447963,0.08627451,0.066795953,-0.072291449,0.7490196,0.716311169,0.75294125,0.720232729,0.702521034,0.601249752,0.604180153,0.9843138,0.667054536,0.941693665,0.491618212,0.535401865,0.789226529,0
-0.0872965,0.067588505,0.024023445,0.017540108,0.021390376,0.015044564,-0.116154797,0.244777194,0.231372564,0.244919796,0.231586469,0.236292351,0.195080227,0.195222829,0.463244237,0.212406433,0.439714826,0.494402882,0.535686286,0.371194317,0
0.041305514,0.090160077,0.056477048,0.047071319,0.050980397,0.039228177,-0.092017992,0.5137255,0.493980299,0.5137255,0.493980299,0.571974556,0.415861152,0.415861152,0.9725491,0.545859902,0.937030163,0.48954667,0.531172755,0.790370995,0
-0.025414202,0.083634744,0.057551754,0.096443241,0.100410406,0.080209761,-0.106515708,0.820656724,0.797172896,0.820656724,0.797264096,0.871728296,0.663292317,0.663292317,0.988828142,0.847834079,0.961285981,0.484404954,0.527770197,0.799042488,0
0.022032689,0.095778497,0.059170654,0.027450982,0.03137255,0.023529414,-0.078456776,0.3254902,0.310823538,0.3254902,0.310823538,0.347000015,0.264784321,0.264784321,0.6156863,0.324019613,0.590764735,0.491921595,0.531176502,0.502058848,0
-0.035196125,0.121916212,0.077896613,0.011764707,0.015686275,0.011764707,-0.063574014,0.173382364,0.163186282,0.17568628,0.165392163,0.179607851,0.136372557,0.138676479,0.329411768,0.157352947,0.311764718,0.494607874,0.535833345,0.261372561,0
-0.018981886,0.085357769,0.04724675,0.047169297,0.050980397,0.039243305,-0.11185292,0.5137255,0.491466471,0.5137255,0.491466471,0.513366491,0.40809172,0.40809172,0.9725491,0.483595721,0.933388625,0.489781851,0.535349363,0.775145056,0
-0.000640026,0.081742232,0.074655483,0.11072323,0.113667316,0.093884925,-0.082998532,0.870390476,0.862919719,0.870390476,0.863012812,0.9857451,0.725408754,0.725408754,0.99212199,0.978099783,0.984558159,0.479036509,0.518054384,0.827392867,0
-0.005555555,0.040886179,0.032797949,0.001348039,0.003676471,0.000367647,-0.042814838,0.080269609,0.07794118,0.083333334,0.081004902,0.102941185,0.070098044,0.073039221,0.155392162,0.095955892,0.152450984,0.491789242,0.512009835,0.137377459,0
-0.040355729,0.107544162,0.067918078,0.009165528,0.013087096,0.009165528,-0.074261624,0.161240317,0.152257188,0.16192431,0.152941183,0.173050622,0.127222989,0.127724585,0.304787977,0.153533977,0.2893297,0.492932085,0.533606948,0.242407675,0
0.016594078,0.093216615,0.064557519,0.164894046,0.17254902,0.141196286,-0.085818764,1.0,0.968389831,1.0,0.968449249,0.918993928,0.820964612,0.820964612,1.0,0.891384512,0.968389831,0.487344056,0.526629048,0.820964612,0
-0.040038575,0.088302671,0.052352817,0.07450981,0.078431375,0.061999359,-0.10193838,0.6901961,0.663477989,0.6901961,0.663477989,0.698566392,0.55436841,0.55436841,0.9803922,0.666358117,0.941896556,0.490247531,0.533346218,0.786975323,0
0.011733791,0.07558593,0.045420021,0.008330434,0.012205593,0.008307229,-0.079629273,0.157906955,0.150435092,0.157906955,0.15052791,0.181413165,0.129434975,0.129434975,0.298085643,0.167954525,0.286112097,0.491936448,0.526789666,0.246362699,0
-0.098276868,-0.331119,-0.230227703,0.0,0.0,0.0,-0.073008451,0.007843138,0.011051694,0.009269163,0.013190732,0.0,0.017825313,0.020677363,0.018894831,0.028163994,0.025668451,0.506951895,0.439572227,0.036363638,0
0.019892029,0.12708687,0.085074936,0.015720376,0.019641945,0.015038364,-0.053134766,0.229360629,0.217152617,0.229360629,0.217254918,0.228064807,0.183631727,0.183631727,0.433282209,0.205728916,0.411560134,0.49421998,0.535004276,0.348132999,0
