laplace,butterworth_R,butterworth_G,IE_FHSABP_G,IE_FHSABP_R,IE_FHSABP_B,butterworth_B,IE_GHE_R,IE_GHE_G,HSV_equalized_R,HSV_equalized_G,Lab_equalized_R,IE_GHE_B,HSV_equalized_B,IE_DSIHE_R,Lab_equalized_G,IE_DSIHE_G,Lab_A,YCrCb_Cr,IE_DSIHE_B,target
-0.027187014,0.103996388,0.065911931,0.035501511,0.039215688,0.03137255,-0.065253209,0.34509805,0.329072403,0.34509805,0.329185526,0.381994754,0.282202123,0.282202123,0.6392157,0.356542241,0.612198353,0.49402341,0.531806213,0.524170454,0
0.021134081,0.100265209,0.063463902,0.092624745,0.098039225,0.078431375,-0.074948161,0.73333335,0.704175184,0.73333335,0.704175184,0.70528235,0.60102148,0.60102148,0.9803922,0.674324079,0.940612228,0.491874736,0.531119,0.801257273,0
-0.06687232,0.098926623,0.050369681,0.019784094,0.023661602,0.016126901,-0.078160828,0.222956615,0.209649721,0.226217247,0.212601911,0.219167235,0.17880591,0.181097167,0.415730371,0.191628126,0.392200961,0.498171433,0.536990534,0.335404281,0
0.03570897,0.116532595,0.087578805,0.20000002,0.20784315,0.170776099,-0.0535859,1.0,0.968251785,1.0,0.968263527,0.91839856,0.829881479,0.829881479,1.0,0.889491664,0.968251785,0.489198099,0.526617366,0.829881479,0
-0.050882856,0.088428286,0.060304204,0.08627451,0.09019608,0.07058824,-0.093661241,0.68235296,0.660286815,0.68235296,0.660286815,0.731050646,0.553204595,0.553204595,0.97647065,0.705706768,0.946912565,0.48709397,0.527363203,0.794381111,0
-0.01528027,0.097834404,0.058440468,0.039334523,0.043137256,0.033511588,-0.076348576,0.3803922,0.362388602,0.38431376,0.366102213,0.407011323,0.309506841,0.312091513,0.70980394,0.378550229,0.678877023,0.493939424,0.532976851,0.578787906,0
0.018518484,-0.001806878,-0.014143474,0.008496733,0.01135621,0.007843138,-0.07116965,0.118300663,0.115277787,0.120669943,0.117647068,0.131944451,0.106699354,0.108905237,0.222222239,0.125245104,0.21707518,0.496486956,0.513317024,0.201552307,0
-0.020568614,0.103448787,0.055742916,0.06666667,0.07058824,0.054901965,-0.086100197,0.57254905,0.54272552,0.5764706,0.547098066,0.497235321,0.459274542,0.463117679,0.9725491,0.458274539,0.923235358,0.496000034,0.5372549,0.783000065,0
-0.056505632,0.082871092,0.052751836,0.077541949,0.081544373,0.064847385,-0.098410453,0.642126561,0.620416434,0.642126561,0.620416434,0.681908249,0.52116437,0.52116437,0.973600237,0.65659998,0.941459535,0.487972535,0.528764927,0.79231865,0
-0.031027945,0.058976125,0.038227474,0.015686275,0.019607844,0.015686275,-0.078528297,0.193725506,0.187771848,0.195365436,0.189304826,0.233404651,0.162959008,0.164313732,0.359964359,0.222638162,0.350196089,0.490017853,0.521746907,0.304349388,0
0.002483629,0.143382921,0.101254078,0.028067228,0.031876752,0.02414566,-0.03051061,0.287282921,0.272380966,0.290364154,0.275462198,0.304033626,0.23266108,0.234789932,0.535798345,0.27686276,0.509803952,0.495126081,0.534005618,0.435798351,0
-0.005844774,0.10407025,0.066882969,0.030155512,0.03398693,0.026143793,-0.058832589,0.300833905,0.28722111,0.304665324,0.290917302,0.346856003,0.24746452,0.250439499,0.560874484,0.322289849,0.536804175,0.494207828,0.53058375,0.463376188,0
-0.003610339,0.078828207,0.063702167,0.03669468,0.040616248,0.032773111,-0.077287535,0.357703105,0.349953319,0.359477145,0.351914112,0.551727376,0.297105522,0.298412711,0.664799269,0.541736725,0.652287606,0.484033643,0.521288545,0.553968272,0
0.027748075,0.104840878,0.059564591,0.114379095,0.122281648,0.098455149,-0.079235146,0.837611491,0.797623368,0.837611491,0.798039293,0.727866961,0.681224016,0.681224016,0.988413602,0.686571612,0.9410577,0.495484287,0.536363647,0.80433757,0
-0.002820777,-0.121422153,-0.098924723,0.003921569,0.002683179,0.004540764,-0.090255995,0.066047476,0.068730654,0.067285866,0.070175442,0.075541798,0.070175442,0.071620231,0.125490204,0.094324052,0.130443764,0.495562467,0.489783311,0.132301349,0
0.012888613,0.096739598,0.055838013,0.091698741,0.098039225,0.078394725,-0.087500796,0.73333335,0.699835095,0.73333335,0.699945045,0.676012481,0.593439647,0.593439647,0.9803922,0.640388503,0.937108362,0.493164772,0.535129204,0.792340186,0
0.018993161,0.089629738,0.069134878,0.074276383,0.078197948,0.062628387,-0.074072379,0.625817013,0.611181145,0.625933726,0.611461256,0.755275461,0.5193511,0.519421128,0.9725491,0.735807678,0.950536962,0.485924399,0.524393102,0.808846949,0
0.022935919,0.105492925,0.07642752,0.129646492,0.13725491,0.1101417,-0.06881934,0.8862746,0.858720551,0.8862746,0.858720551,0.885186842,0.731232315,0.731232315,0.9921569,0.8588236,0.960681351,0.488123684,0.527098915,0.817844638,0
0.02189881,0.093746491,0.058977952,0.043137256,0.04705883,0.036426119,-0.066593078,0.42352945,0.405862171,0.427451,0.409743312,0.473418262,0.349989907,0.353749764,0.78823537,0.448109997,0.758196956,0.493389964,0.529007503,0.654214702,0
-0.009375701,0.086249343,0.055057104,0.050980397,0.054901965,0.043137256,-0.079943999,0.47058827,0.452918671,0.47058827,0.452918671,0.538697341,0.38643231,0.38643231,0.8745099,0.513094445,0.844669884,0.490917312,0.527563689,0.72044176,0
-0.081366363,0.073336319,0.041630814,0.03510914,0.039030708,0.03118757,-0.10228333,0.343433233,0.330225682,0.343618213,0.330410661,0.413096595,0.278690363,0.278801351,0.636256025,0.391675943,0.612948594,0.489752153,0.529374794,0.517092153,0
-0.020775976,0.097699036,0.066785401,0.118272851,0.123571138,0.099144774,-0.091036852,0.841802336,0.813892443,0.841802336,0.813892443,0.837880756,0.680559043,0.680559043,0.988735973,0.809345078,0.95646649,0.487317508,0.529849837,0.800000079,0
-0.056489255,0.087184336,0.044887425,0.043137256,0.04705883,0.03529412,-0.094888462,0.42352945,0.403137289,0.427451,0.407226923,0.420840362,0.341120455,0.344425781,0.78823537,0.38957986,0.751036451,0.494173701,0.535462194,0.636582659,0
-0.00530566,0.067784074,0.036565316,0.012149174,0.015993849,0.012072281,-0.070547324,0.167858522,0.160092278,0.171472517,0.163706274,0.177085743,0.140253757,0.143021924,0.31457133,0.161783936,0.301730115,0.494732824,0.526028468,0.263975405,0
0.009417115,0.100259031,0.042075769,0.02537015,0.027851142,0.021448581,-0.073970627,0.25730293,0.240096053,0.258663474,0.241296533,0.229931989,0.208083249,0.20928373,0.478591468,0.19383755,0.447699112,0.503561454,0.540536232,0.388715511,0
0.013984045,0.097029536,0.063135981,0.07450981,0.078431375,0.0627451,-0.071296228,0.627451,0.603856951,0.627451,0.603856951,0.645916847,0.51760399,0.51760399,0.9725491,0.618573604,0.936974853,0.491725947,0.529153226,0.804223309,0
-0.077001666,-0.00292494,-0.011135704,0.009436275,0.010539217,0.007843138,-0.085155353,0.120833341,0.118872558,0.122794125,0.120833341,0.131617654,0.107352949,0.109068636,0.22708335,0.129779418,0.224264723,0.49215689,0.512132386,0.203186293,0
0.003552849,0.087630834,0.065274543,0.07363835,0.077559916,0.061974194,-0.084817605,0.621350783,0.605966162,0.621786511,0.606401892,0.73202616,0.5099045,0.510273194,0.9725491,0.71178149,0.948449878,0.485436597,0.524719299,0.800100631,0
-0.008681689,0.095759049,0.035899643,0.024121349,0.027192011,0.020384759,-0.086334904,0.253459128,0.235812075,0.25490197,0.23714393,0.224084366,0.202885696,0.204032571,0.471032218,0.18793934,0.439548684,0.503144684,0.54184242,0.37832041,0
-0.085228777,0.08233109,0.038908637,0.045133692,0.049055264,0.037290555,-0.106688488,0.435508059,0.413761175,0.438431396,0.416898429,0.417183624,0.347878798,0.350802155,0.810196159,0.386167588,0.771408239,0.493547267,0.536327999,0.648698781,0
-0.000536862,0.077987264,0.027286992,0.023634456,0.026365548,0.019712886,-0.093581336,0.238480408,0.223967105,0.239565843,0.225070047,0.229534331,0.193469904,0.19438027,0.442857173,0.199247216,0.417296952,0.500227616,0.537272414,0.360171582,0
0.039014569,-0.054990515,-0.040661691,0.006334842,0.004826546,0.004223228,-0.048353987,0.079487181,0.081900454,0.081598794,0.084012068,0.090950232,0.079788841,0.081900454,0.15037708,0.101508303,0.154147819,0.495625973,0.495475144,0.151583716,0
-0.015492608,0.093813065,0.050603195,0.016122005,0.019317357,0.015395788,-0.057820903,0.183224412,0.172766892,0.186129276,0.175599135,0.188671037,0.151416127,0.153594776,0.341394341,0.164488023,0.323747284,0.499346433,0.532679751,0.282643446,0
0.006599707,0.006189255,-0.00461897,0.010329987,0.012625539,0.009469154,-0.079798288,0.140028702,0.13725491,0.14251555,0.139741759,0.151410813,0.124438074,0.126637977,0.262936406,0.147202302,0.258249654,0.4929699,0.513725525,0.23500719,0
-0.076395675,0.073924912,0.030594804,0.016779171,0.01973642,0.015429123,-0.099717024,0.197749936,0.187078122,0.199164272,0.18849246,0.199742865,0.158984255,0.160012863,0.367277418,0.177049187,0.348569602,0.495982031,0.534361956,0.296303453,0
0.00321877,0.097755323,0.052467538,0.08366013,0.09019608,0.070672575,-0.084871673,0.68235296,0.649251544,0.68235296,0.649504548,0.595572451,0.552730368,0.552730368,0.97647065,0.559561492,0.929706997,0.49508753,0.536791062,0.793843633,0
0.085764392,0.006741399,0.012480291,0.014442851,0.012434243,0.010999523,-0.063177266,0.144619806,0.146724062,0.14681971,0.148923965,0.155810623,0.132281212,0.134194172,0.27144908,0.162219039,0.274127225,0.487135369,0.504734613,0.248206614,0
0.024803074,0.100251491,0.076554555,0.201273692,0.20784315,0.16862746,-0.07900097,1.0,0.974660691,1.0,0.974727727,0.938461605,0.820680483,0.820680483,1.0,0.914731081,0.974660691,0.485000867,0.525791862,0.820680483,0
-0.017665341,0.099323886,0.07616368,0.10588236,0.10980393,0.087042858,-0.077964918,0.7843138,0.763787922,0.7843138,0.763787922,0.854253419,0.639574935,0.639574935,0.9843138,0.832530124,0.95840948,0.484867565,0.525300609,0.803103403,0
-0.051382602,-0.197202048,-0.177594198,0.0,0.0,0.002714932,-0.142601732,0.031070891,0.031975869,0.033182506,0.034087483,0.052488691,0.035897438,0.038310711,0.05972851,0.074208148,0.061840124,0.501659158,0.488687812,0.067269988,0
-0.004071798,0.081944002,0.03245111,0.022267299,0.024678839,0.01834573,-0.087990611,0.228397583,0.215167925,0.231124651,0.217827377,0.224070335,0.185801228,0.187874703,0.425490229,0.194613493,0.401735443,0.499707037,0.536894306,0.346855994,0
-0.062483632,0.073739367,0.055013884,0.075196082,0.07911765,0.063137258,-0.093711583,0.624901983,0.611176492,0.625784332,0.612058845,0.766764742,0.515392185,0.516176498,0.973431446,0.749411803,0.953431444,0.484411793,0.523137277,0.805980466,0
0.012634938,0.143864931,0.100903933,0.043137256,0.04705883,0.035338183,-0.03119563,0.42352945,0.402247226,0.427451,0.406499261,0.418098729,0.344227814,0.346992741,0.78823537,0.385393287,0.750738083,0.495869167,0.535217021,0.641606105,0
-0.021732034,0.064219666,0.038827512,0.013921569,0.017843138,0.013921569,-0.073721496,0.176666674,0.169607849,0.180196085,0.172941183,0.192745112,0.147843144,0.150490201,0.330098047,0.180098047,0.319019617,0.492058852,0.523921595,0.277745114,0
-0.06289035,0.07061651,0.051357254,0.022832246,0.026753814,0.019520698,-0.085374744,0.250283233,0.243311563,0.250980401,0.244008731,0.368453181,0.206797402,0.207233132,0.464139464,0.357385638,0.452287618,0.486448829,0.522701544,0.385185213,0
-0.005825746,0.081491977,0.054411548,0.058638262,0.062559829,0.050795126,-0.087135437,0.520364399,0.504492857,0.520364399,0.504523736,0.612814589,0.429334596,0.429334596,0.96640425,0.589717487,0.937131455,0.488312516,0.526385685,0.79811649,0
-0.009991954,0.019866404,0.01744901,0.013859791,0.013913511,0.011710987,-0.072532175,0.149073334,0.148804733,0.151383299,0.151114697,0.161052919,0.132312657,0.134192862,0.279344628,0.162557083,0.278485108,0.487617542,0.510609758,0.248455559,0
-0.007533147,0.093151219,0.052318397,0.013503134,0.017343845,0.013422277,-0.053402234,0.173195883,0.163290891,0.177117451,0.167091173,0.179907022,0.143076621,0.146513045,0.323913491,0.157792607,0.307499505,0.498686101,0.531028927,0.269415822,0
