laplace,butterworth_R,butterworth_G,IE_FHSABP_G,IE_FHSABP_R,IE_FHSABP_B,butterworth_B,IE_GHE_R,IE_GHE_G,HSV_equalized_R,HSV_equalized_G,Lab_equalized_R,IE_GHE_B,HSV_equalized_B,IE_DSIHE_R,Lab_equalized_G,IE_DSIHE_G,Lab_A,YCrCb_Cr,IE_DSIHE_B,target
-0.002676122,0.073376684,0.039780886,0.011764707,0.015686275,0.011764707,-0.104699553,0.22352943,0.213555673,0.22352943,0.213555673,0.237918806,0.179496686,0.179496686,0.427451,0.220595973,0.409819394,0.490165226,0.530399901,0.344449601,0
0.032117636,0.091503264,0.065281038,0.055045756,0.058823533,0.04705883,-0.087830043,0.67058825,0.649019621,0.6745098,0.652941199,0.74228761,0.546117673,0.548444469,0.9803922,0.719071935,0.951045831,0.486026174,0.525660136,0.797281126,0
0.013847643,0.076671655,0.044566104,0.007843138,0.011764707,0.007843138,-0.084955585,0.19607845,0.187538955,0.20000002,0.191277276,0.223162927,0.160674369,0.164595939,0.37647063,0.205882372,0.361645602,0.491827038,0.527212769,0.309895555,0
0.031817069,0.093178397,0.065093534,0.129643479,0.13725491,0.110035639,-0.084861625,1.0,0.968780517,1.0,0.968780517,0.897282952,0.821959981,0.821959981,1.0,0.8705883,0.968780517,0.48690846,0.526124126,0.821959981,0
-0.026594237,0.075078826,0.041295039,0.035453102,0.039215688,0.031346053,-0.107565557,0.5058824,0.486857474,0.50980395,0.490779039,0.50739271,0.409697966,0.413619533,0.9725491,0.481717041,0.937175473,0.489560173,0.531107609,0.789904683,0
-0.014260681,0.080519861,0.048067033,0.023529414,0.027450982,0.019607844,-0.101485287,0.3647059,0.351120995,0.3647059,0.351120995,0.389641166,0.29367371,0.29367371,0.69803923,0.368879048,0.673103964,0.488790258,0.530358889,0.563536837,0
0.011602445,0.086982116,0.064696785,0.062934417,0.066504398,0.052062209,-0.090435032,0.732035176,0.713563239,0.732116311,0.713644375,0.8182827,0.597890488,0.597944579,0.984232663,0.797565984,0.959621427,0.484462504,0.525273839,0.803299605,0
-0.037521497,0.071234681,0.032715589,0.007843138,0.011764707,0.007843138,-0.11055064,0.19607845,0.18624872,0.20000002,0.189963897,0.195794648,0.156501553,0.159907127,0.37647063,0.177812186,0.358771937,0.492182691,0.533230152,0.301419003,0
-0.072046233,0.058994688,0.026164113,0.007943691,0.01186526,0.007943691,-0.117123943,0.196782321,0.188386138,0.200603338,0.192207156,0.217898457,0.157365515,0.161035703,0.377777819,0.203217712,0.362594279,0.489894445,0.529612893,0.304424346,0
0.000676962,0.061299483,0.037559998,7.002801786e-05,0.003921569,7.002801786e-05,-0.078896556,0.084663867,0.080672271,0.086624652,0.082703083,0.119887964,0.069327735,0.07128852,0.163865552,0.10553222,0.157493001,0.490826357,0.523669488,0.136554628,0
-0.003493754,0.079455786,0.052682156,0.035365421,0.039215688,0.03137255,-0.096159165,0.5058824,0.490303052,0.50980395,0.494224632,0.574188978,0.413155111,0.41707668,0.9725491,0.555935854,0.943030366,0.486773647,0.5254902,0.796934124,0
0.022391317,0.091814503,0.057710514,0.03529412,0.039215688,0.03135304,-0.094430711,0.5058824,0.486020906,0.50980395,0.489942467,0.511481827,0.407570026,0.411491596,0.9725491,0.48627454,0.935616102,0.489025485,0.532143235,0.786303848,0
-0.066562665,0.055825499,0.030602685,0.007887701,0.011764707,0.007843138,-0.111286769,0.19527631,0.18823531,0.19906419,0.19202319,0.256283439,0.157887706,0.161675586,0.375000041,0.244652422,0.363101617,0.487611435,0.525401084,0.306149742,0
-0.034491441,0.062920492,0.031375945,0.003921569,0.007843138,0.003921569,-0.100890973,0.121568635,0.114895091,0.121568635,0.114895091,0.147282426,0.098039225,0.098039225,0.23137257,0.132610947,0.220983849,0.491417295,0.527330597,0.188544907,0
-0.017094788,0.077838713,0.045858169,0.051527593,0.055236362,0.043654055,-0.098662244,0.645478056,0.622495846,0.647606029,0.624623823,0.657090763,0.527223012,0.5286518,0.978598623,0.628271784,0.94515891,0.490013704,0.529472592,0.800030477,0
-0.045197065,0.073873804,0.038223172,0.047177665,0.050980397,0.039304815,-0.115757788,0.6156863,0.590671441,0.6156863,0.590671441,0.586779588,0.49456331,0.49456331,0.97647065,0.559388025,0.93951284,0.489512798,0.532650056,0.786839047,0
-0.026062052,0.067881812,0.03925436,0.015686275,0.019607844,0.015686275,-0.098735802,0.28627452,0.275245116,0.28627452,0.275392175,0.33867648,0.234509818,0.234509818,0.54901963,0.320686287,0.530343169,0.489558848,0.52691178,0.451078464,0
-0.066230993,-0.21097343,-0.22273814,0.0,0.0,0.0,-0.193979943,0.016993465,0.016993465,0.018300655,0.018300655,0.049673206,0.020915034,0.022222223,0.036601309,0.03267974,0.036601309,0.511111133,0.505882383,0.040522879,0
0.001200469,0.078021641,0.050730729,0.027651062,0.03137255,0.023729494,-0.095567761,0.40784317,0.393837573,0.40784317,0.393837573,0.4709084,0.331892762,0.331892762,0.7803922,0.45162068,0.756142525,0.487795145,0.526530625,0.637374975,0
0.012026159,0.0785536,0.041372228,0.019607844,0.023529414,0.015686275,-0.099436563,0.32156864,0.306691184,0.3254902,0.310612754,0.31377452,0.259583342,0.263504907,0.61960787,0.291715697,0.594117676,0.492083361,0.532181399,0.502524535,0
-0.010457501,0.108153365,0.078755808,0.08235294,0.08627451,0.07048878,-0.068814489,0.8588236,0.831685195,0.8588236,0.831685195,0.851278834,0.705399291,0.705399291,0.9921569,0.82394153,0.961040148,0.488107443,0.527294703,0.815189053,0
-0.032447341,0.072158332,0.037474238,0.011590415,0.015337691,0.011416123,-0.100652098,0.221089343,0.210718969,0.221437927,0.211067553,0.238692827,0.178823534,0.179172118,0.422919412,0.219782153,0.405490227,0.491677588,0.530893269,0.34335513,0
