laplace,butterworth_R,butterworth_G,IE_FHSABP_G,IE_FHSABP_R,IE_FHSABP_B,butterworth_B,IE_GHE_R,IE_GHE_G,HSV_equalized_R,HSV_equalized_G,Lab_equalized_R,IE_GHE_B,HSV_equalized_B,IE_DSIHE_R,Lab_equalized_G,IE_DSIHE_G,Lab_A,YCrCb_Cr,IE_DSIHE_B,target
-0.03747276,0.0802381,0.068266998,0.033367735,0.036601309,0.029102169,-0.050274438,0.273409029,0.26776747,0.277261794,0.271826637,0.313794301,0.232266958,0.23584453,0.517578287,0.308290343,0.509047153,0.486549735,0.517509492,0.441898897,0
-0.020650142,0.10412561,0.072822164,0.1137255,0.11764707,0.094169487,-0.077665855,0.7058824,0.682473889,0.7058824,0.682473889,0.709890322,0.572929113,0.572929113,0.97647065,0.679709795,0.945184479,0.48960873,0.529359973,0.794679181,0
0.010877135,0.111244835,0.100448427,0.023674657,0.027402568,0.023190513,-0.005675991,0.209005099,0.204599389,0.212539352,0.208085225,0.207262181,0.179327047,0.182522397,0.396175295,0.203679514,0.389784593,0.487872213,0.516339898,0.341660622,0
0.021589672,0.086693892,0.082820567,0.251414123,0.25490198,0.211650266,-0.07940342,1.0,0.993825535,1.0,0.994951987,1.0,0.833902664,0.833902664,1.0,1.0,0.993825535,0.477184452,0.5176471,0.833902664,0
0.012055213,0.096857031,0.056255953,0.054901965,0.058823533,0.04705883,-0.076965646,0.4039216,0.384324935,0.4039216,0.384660111,0.368359337,0.327836439,0.327836439,0.7568628,0.341399937,0.721680371,0.494184713,0.533646186,0.614457309,0
0.025725494,0.126971089,0.084367174,0.15159216,0.160000004,0.126870594,-0.068448499,0.852549068,0.814243211,0.85647066,0.818227526,0.749960843,0.683858836,0.687027468,0.98509811,0.711811794,0.941270653,0.49232944,0.536094126,0.789741248,0
0.009238676,0.110566455,0.080571752,0.083571808,0.087493376,0.069263385,-0.066540043,0.564361438,0.544356157,0.568230034,0.548224724,0.580100721,0.459088536,0.461870731,0.964652946,0.556147352,0.932300009,0.4884208,0.528192918,0.785638652,0
-0.031134887,-0.066353691,-0.032842053,0.015329769,0.011408201,0.011408201,-0.062432114,0.117647068,0.125846709,0.11836008,0.126916227,0.110873449,0.119073091,0.12014261,0.224955455,0.136185391,0.237433171,0.485205021,0.487344055,0.226024972,0
-0.034647119,0.089700653,0.05943724,0.090909098,0.095028725,0.076252727,-0.082491833,0.60305013,0.582333161,0.604555391,0.583838401,0.617191548,0.495306033,0.49613788,0.967122255,0.591602331,0.934799035,0.489443478,0.5277877,0.794969375,0
-0.041870649,0.082750208,0.067039581,0.078407017,0.082036293,0.066642313,-0.079105819,0.540104764,0.52909514,0.543368684,0.532553918,0.661649032,0.447497295,0.450468916,0.962099685,0.649299737,0.944464809,0.483643921,0.522031445,0.798027115,0
-0.053868871,0.088226602,0.059637104,0.045604052,0.049525622,0.037887415,-0.078756304,0.349905128,0.337128409,0.353510446,0.34060722,0.36141684,0.285325762,0.288361812,0.660215061,0.343833031,0.637887429,0.489247338,0.526691983,0.540101228,0
0.030501127,0.100674675,0.078955222,0.038411264,0.042332832,0.034489695,-0.046384131,0.308094532,0.298541992,0.308898954,0.299547523,0.336551042,0.257264971,0.258019119,0.57858223,0.323177483,0.5627954,0.489039744,0.523026665,0.48481652,0
