laplace,butterworth_R,butterworth_G,IE_FHSABP_G,IE_FHSABP_R,IE_FHSABP_B,butterworth_B,IE_GHE_R,IE_GHE_G,HSV_equalized_R,HSV_equalized_G,Lab_equalized_R,IE_GHE_B,HSV_equalized_B,IE_DSIHE_R,Lab_equalized_G,IE_DSIHE_G,Lab_A,YCrCb_Cr,IE_DSIHE_B,target
0.030320228,0.095836159,0.043030635,0.04705883,0.050980397,0.039844619,-0.08532056,0.44705886,0.421396017,0.45098042,0.425231254,0.389184892,0.361166613,0.363657677,0.7960785,0.351214723,0.751153075,0.499778051,0.538229134,0.643149612,0
-0.004499402,0.078645862,0.04876996,0.10588236,0.10980393,0.086501847,-0.101831513,0.7843138,0.757506928,0.78823537,0.761428521,0.805901365,0.638277938,0.640200834,0.9843138,0.776366464,0.953263301,0.488585798,0.527915151,0.799914833,0
-0.04308563,0.090740976,0.05312488,0.02647059,0.030392158,0.022549021,-0.088696569,0.288235307,0.274561422,0.291176485,0.27750259,0.337719312,0.231243564,0.233617145,0.5137255,0.313261104,0.490789502,0.492053692,0.532817358,0.413622327,0
-0.031148081,0.043123421,0.020584306,0.008595762,0.012240049,0.008476927,-0.085654557,0.141810268,0.136621121,0.143077846,0.137809475,0.158764117,0.119469211,0.120419894,0.253040217,0.148663107,0.244880188,0.491939026,0.521885546,0.214497936,0
-0.020143667,0.083278112,0.026450705,0.031390215,0.03529412,0.027450982,-0.100487982,0.3254902,0.304981461,0.32941177,0.307949133,0.280551155,0.260695997,0.264493913,0.5803922,0.24329625,0.544303156,0.501466192,0.540611222,0.465942446,0
0.038850788,0.083826708,0.055073225,0.19215688,0.20000002,0.16470589,-0.086685223,1.0,0.968585933,1.0,0.968585933,0.917882691,0.829488045,0.829488045,1.0,0.88969728,0.968585933,0.488796533,0.526501779,0.829488045,0
-0.036873634,0.093116965,0.060483915,0.068510742,0.072478996,0.056746035,-0.088488986,0.603361376,0.581279206,0.607282945,0.585200768,0.649579852,0.4892624,0.492226919,0.972572443,0.620751659,0.938095298,0.489355768,0.530135412,0.790966458,0
0.023945343,0.113752794,0.067674364,0.09364231,0.100713022,0.078787882,-0.0852965,0.747950105,0.710932883,0.74884137,0.711705316,0.669845536,0.594147378,0.595008935,0.981283473,0.629590046,0.933363104,0.493553208,0.537700541,0.780481348,0
-0.011135321,0.101675534,0.051040101,0.082716048,0.090559189,0.070896882,-0.090499459,0.688634704,0.650708076,0.692374748,0.654702272,0.591394352,0.551143819,0.554538885,0.976652203,0.551053039,0.924055975,0.496514194,0.538507632,0.784422723,0
0.017790525,-0.010484176,-0.002067144,0.00726925,0.004878049,0.003921569,-0.049891199,0.092013397,0.0944046,0.093735063,0.096221913,0.101960791,0.087135343,0.088952657,0.165758017,0.11028217,0.168723106,0.490291755,0.501482577,0.156575806,0
