names,Dice_coefficient
2023_12_14_image_000,0.8256622196298705
2023_12_14_image_001,0.8240914221279025
2023_12_14_image_002,0.8523205316736662
2023_12_14_image_003,0.8454954492391695
2023_12_14_image_004,0.8513400324844929
2023_12_14_image_005,0.8654752964509004
2023_12_14_image_006,0.8677140281927477
2023_12_14_image_007,0.8702582486399913
2023_12_14_image_008,0.8573226971780511
2023_12_14_image_009,0.8466149922002068
2023_12_14_image_010,0.8555891078543403
2023_12_14_image_011,0.8578268437022701
2023_12_14_image_012,0.8697777895358136
2023_12_14_image_013,0.8623177126928367
2023_12_14_image_014,0.8696682892316443
2023_12_14_image_015,0.8310930401580362
2023_12_14_image_016,0.8777728112462179
2023_12_14_image_017,0.8577609956428556
2023_12_14_image_018,0.8739856883238161
2023_12_14_image_019,0.8529389277862481
2023_12_14_image_020,0.8174922132238781
2023_12_14_image_021,0.8161471212558213
2023_12_14_image_022,0.6915642005746809
2023_12_14_image_023,0.7342605313386961
2023_12_14_image_024,0.8641208992597696
2023_12_14_image_025,0.8280326511020438
2023_12_14_image_026,0.7916022675455013
2023_12_14_image_027,0.7527385647712387
2023_12_14_image_028,0.8960654802298947
2023_12_14_image_029,0.8776739475075356
2023_12_14_image_030,0.8610581910164328
2023_12_14_image_031,0.8796392215790023
2023_12_14_image_032,0.8651404072068057
2023_12_14_image_033,0.8703632770031909
2023_12_14_image_034,0.8645737029239561
2023_12_14_image_035,0.8886374553102475
2023_12_14_image_036,0.8694186753154618
2023_12_14_image_037,0.8465356468484351
2023_12_14_image_038,0.8659418293189282
2023_12_14_image_039,0.8439443568987897
2023_12_14_image_040,0.8672849417959624
2023_12_14_image_041,0.8536194788965625
2023_12_14_image_042,0.846741028839999
2023_12_14_image_043,0.8465131004558453
2023_12_14_image_044,0.8307073546763536
2023_12_14_image_045,0.8392504317557156
2023_12_14_image_046,0.8496402302373486
2023_12_14_image_047,0.8487218581920594
2023_12_14_image_048,0.8813517418129319
2023_12_14_image_049,0.8795709993122874
