laplace,butterworth_R,butterworth_G,butterworth_B,IE_FHSABP_G,IE_FHSABP_R,IE_FHSABP_B,IE_GHE_R,HSV_equalized_R,IE_GHE_G,target
-0.03747276,0.0802381,0.068266998,-0.050274438,0.033367735,0.036601309,0.029102169,0.273409029,0.277261794,0.26776747,0
-0.020650142,0.10412561,0.072822164,-0.077665855,0.1137255,0.11764707,0.094169487,0.7058824,0.7058824,0.682473889,0
0.010877135,0.111244835,0.100448427,-0.005675991,0.023674657,0.027402568,0.023190513,0.209005099,0.212539352,0.204599389,0
0.021589672,0.086693892,0.082820567,-0.07940342,0.251414123,0.25490198,0.211650266,1.0,1.0,0.993825535,0
0.012055213,0.096857031,0.056255953,-0.076965646,0.054901965,0.058823533,0.04705883,0.4039216,0.4039216,0.384324935,0
0.025725494,0.126971089,0.084367174,-0.068448499,0.15159216,0.160000004,0.126870594,0.852549068,0.85647066,0.814243211,0
0.009238676,0.110566455,0.080571752,-0.066540043,0.083571808,0.087493376,0.069263385,0.564361438,0.568230034,0.544356157,0
-0.031134887,-0.066353691,-0.032842053,-0.062432114,0.015329769,0.011408201,0.011408201,0.117647068,0.11836008,0.125846709,0
-0.034647119,0.089700653,0.05943724,-0.082491833,0.090909098,0.095028725,0.076252727,0.60305013,0.604555391,0.582333161,0
-0.041870649,0.082750208,0.067039581,-0.079105819,0.078407017,0.082036293,0.066642313,0.540104764,0.543368684,0.52909514,0
-0.053868871,0.088226602,0.059637104,-0.078756304,0.045604052,0.049525622,0.037887415,0.349905128,0.353510446,0.337128409,0
0.030501127,0.100674675,0.078955222,-0.046384131,0.038411264,0.042332832,0.034489695,0.308094532,0.308898954,0.298541992,0
-0.026346094,0.05606643,0.035898364,-0.076193143,0.025023345,0.028991598,0.022502336,0.224649878,0.22633055,0.217366963,0
-0.029310065,0.105184237,0.063441322,-0.080044505,0.113769071,0.121437918,0.096819183,0.719869313,0.721045807,0.687189561,0
-0.071764714,0.090280789,0.055343181,-0.093819013,0.090267386,0.094616762,0.075044567,0.600855635,0.602566879,0.577433185,0
0.055167853,0.082438462,0.037207496,-0.092470123,0.071385847,0.076636761,0.060784317,0.51831176,0.519375237,0.491691618,0
0.027004488,0.123938653,0.082646845,-0.063671551,0.133355664,0.14117648,0.11275813,0.7960785,0.8000001,0.761305278,0
0.026319333,0.119926687,0.079366194,-0.066183231,0.164593039,0.17254902,0.138044867,0.89019614,0.8941177,0.852673208,0
-0.001357491,-0.060121538,-0.045641864,-0.085159259,0.015987934,0.012217196,0.012066366,0.133031681,0.134992466,0.13725491,0
-0.033270644,0.100022295,0.063976096,-0.076851177,0.089497721,0.094386253,0.075235029,0.599516537,0.601504197,0.575288775,0
-0.07118581,-0.067638868,-0.022932982,-0.039627651,0.013109245,0.009299721,0.009635855,0.102969196,0.104537823,0.111596648,0
-0.021677549,0.08185699,0.049435973,-0.082808025,0.041761984,0.045683556,0.03529412,0.331753816,0.334300119,0.317933016,0
-0.045928565,0.064674675,0.032299623,-0.10869993,0.03998231,0.04390388,0.03346602,0.319917449,0.320743044,0.307120753,0
0.060724892,-0.089165319,-0.048880104,-0.033550329,0.006417113,0.0057041,0.009269163,0.076648844,0.076648844,0.082709448,0
-0.023165751,0.101530524,0.073873146,-0.063647112,0.050597086,0.054518654,0.042753946,0.378121805,0.379212768,0.364853326,0
0.020197563,0.091633084,0.065833294,-0.087579627,0.165531484,0.17254902,0.140144488,0.89019614,0.8941177,0.865723198,0
-0.037908498,-0.035694524,-0.000285062,-0.061646073,0.021453289,0.017531719,0.017531719,0.16066898,0.163552486,0.169665519,0
-0.007854696,0.096103517,0.052619222,-0.079915906,0.045809478,0.049731048,0.038070451,0.351344794,0.354537581,0.333194524,0
-0.02974063,0.098433256,0.067335477,-0.084481665,0.094067704,0.097989269,0.078406397,0.61933311,0.619358089,0.597951808,0
0.006359897,0.102124262,0.084193321,-0.074042618,0.16862746,0.17254902,0.141163276,0.89019614,0.8941177,0.872542495,0
-0.045362569,0.079797294,0.036660041,-0.097373559,0.054808594,0.058730162,0.046311863,0.403361376,0.404201715,0.382773139,0
0.001469145,0.101559806,0.063055567,-0.085634338,0.093614448,0.098039225,0.078379319,0.61960787,0.61960787,0.593562415,0
-0.04817593,0.110536404,0.086436591,-0.043189092,0.028449199,0.032370768,0.024527631,0.249197872,0.252762937,0.240855629,0
0.000254369,0.097448071,0.08600133,-0.03262081,0.03319555,0.036905142,0.029167993,0.270609452,0.274531011,0.265140447,0
-0.031516546,0.073881447,0.045067893,-0.082117206,0.032868064,0.036789633,0.028946495,0.269956814,0.273878375,0.25962115,0
-0.014814817,0.089406163,0.06245795,-0.084584097,0.135042742,0.14117648,0.114027159,0.7960785,0.8000001,0.772649639,0
-0.053438731,0.090981406,0.07307097,-0.045219945,0.025168278,0.029089846,0.021890549,0.223587961,0.22563654,0.217032501,0
0.03282624,0.098321202,0.065596392,-0.067263635,0.056220423,0.060141991,0.048377288,0.411832347,0.413184616,0.39594324,0
0.020644695,0.090205291,0.077947883,-0.085772453,0.249738231,0.25490198,0.208530965,1.0,1.0,0.985340367,0
0.045081102,0.099041606,0.076145117,-0.069382354,0.247341373,0.25490198,0.210645886,1.0,1.0,0.977103523,0
0.035405957,0.109004182,0.079623871,-0.066879205,0.12785992,0.133564021,0.10806334,0.765628624,0.769550256,0.741155533,0
0.015089169,0.12627964,0.080140685,-0.066603426,0.121810707,0.129702258,0.102106034,0.750568877,0.754103197,0.713483441,0
-0.021699345,-0.288482417,-0.22181574,-0.099070637,0.0,0.0,0.003921569,0.027843139,0.028627453,0.031764708,0
0.040641124,0.117442886,0.087470214,-0.063630012,0.14949902,0.15686275,0.125653199,0.8431373,0.8470589,0.816194522,0
0.167156845,-0.144895297,-0.117199209,-0.06817959,0.006617648,0.006617648,0.010539217,0.083333339,0.083578437,0.086764712,0
-0.032426742,0.068726854,0.064046272,-0.033486968,0.020619862,0.022517396,0.019228337,0.178494631,0.179759654,0.17621759,0
0.001663703,0.060964261,0.041594094,-0.06214921,0.02543078,0.029352348,0.023054072,0.224598948,0.226737985,0.217587658,0
-0.017800023,0.104074145,0.080989735,-0.054791085,0.054484777,0.058406345,0.046641641,0.401418472,0.401446285,0.389931893,0
-0.025874651,0.00878368,0.016511477,-0.06601447,0.022895042,0.020588237,0.019607844,0.182583628,0.183737033,0.185467138,0
0.011745768,0.083272445,0.059657782,-0.071430577,0.073174201,0.076953684,0.062262009,0.519579455,0.520801393,0.504916196,0
0.019408434,0.146162145,0.11292852,-0.035692268,0.148820211,0.155001667,0.125756072,0.837554061,0.841475653,0.808441408,0
-0.047271643,0.073204884,0.054372234,-0.104496872,0.116689475,0.120656644,0.096853635,0.716963094,0.718103108,0.701003214,0
-0.05459071,0.071475342,0.053734911,-0.105181976,0.106069102,0.109710559,0.088608781,0.675070044,0.675350162,0.660971069,0
0.001740162,0.067430247,0.047497691,-0.067826386,0.027850632,0.031722244,0.023929064,0.246009754,0.249157003,0.23869116,0
-0.049554365,0.072785681,0.038418481,-0.096198261,0.046060611,0.04998218,0.038217471,0.35222817,0.355793237,0.336969706,0
-0.01845626,0.098059352,0.075494777,-0.066615387,0.065888581,0.069810151,0.055182077,0.473762868,0.476906349,0.46097109,0
-0.042176104,-0.004447299,0.013661125,-0.06696171,0.022952713,0.019607844,0.019146483,0.171626304,0.173356407,0.177277976,0
0.003318232,-0.007052671,0.033369705,-0.006751003,0.016892912,0.012971343,0.012971343,0.133031681,0.134841636,0.141779797,0
-0.023856209,0.005783623,0.005195387,-0.071079144,0.02019608,0.019803923,0.017843138,0.168627458,0.171274517,0.168921575,0
-0.041882897,0.086596883,0.06732574,-0.077811891,0.083046149,0.086829076,0.070905135,0.561437927,0.56524068,0.548167977,0
-0.062144275,0.111550571,0.070605499,-0.076294984,0.084033613,0.089465353,0.070028016,0.57318233,0.577103927,0.547485106,0
0.002204499,0.09778689,0.070790111,-0.076213305,0.10196079,0.10588236,0.086230198,0.6627451,0.6627451,0.641841178,0
-0.001252723,-0.009204063,0.007380906,-0.040413251,0.017810458,0.014950981,0.014379086,0.141584976,0.142892164,0.146078437,0
-0.045357381,0.076893687,0.06438202,-0.089243854,0.112231569,0.115779656,0.093775298,0.69903521,0.69903521,0.687612845,0
-0.030730982,0.080812151,0.037193719,-0.107759945,0.065295323,0.06928907,0.053602795,0.470636384,0.473258784,0.447155091,0
-0.016680261,0.097342569,0.052121987,-0.085173749,0.07181373,0.076511443,0.060008173,0.517810485,0.51870918,0.491421597,0
-0.050805076,0.081558001,0.040190241,-0.091804034,0.038020088,0.041941656,0.03197035,0.303586813,0.304925883,0.288091841,0
0.026381456,0.091735553,0.048883502,-0.094039832,0.066880574,0.071051698,0.055365423,0.48185386,0.485418924,0.458431407,0
-0.001402833,0.018923837,0.05153982,0.001324588,0.019607844,0.015686275,0.015686275,0.145767582,0.14777619,0.153802013,0
0.004926172,0.108696511,0.073729193,-0.069153868,0.104647792,0.11023966,0.088925204,0.678721877,0.678758188,0.652723333,0
-0.005082047,0.09519992,0.070047112,-0.080185134,0.135817327,0.14117648,0.1141069,0.7960785,0.8000001,0.773879096,0
-0.01676807,0.095724036,0.068577318,-0.07347811,0.068357002,0.072278572,0.056828942,0.491954051,0.494185289,0.476335393,0
0.034384758,0.121398227,0.081547079,-0.062078418,0.243230272,0.25490198,0.206928636,1.0,1.0,0.959187859,0
0.002106887,0.072889183,0.064146395,-0.0543311,0.037116496,0.040322954,0.032825838,0.293402553,0.295732422,0.288373716,0
-0.058631978,0.072172936,0.048237844,-0.108929137,0.126132526,0.130324549,0.104090608,0.752670722,0.756592368,0.733434782,0
-0.062868434,0.043843327,0.0305248,-0.078169246,0.024195341,0.027672958,0.022419536,0.215020364,0.217462096,0.209840934,0
0.014222796,0.080404254,0.042637851,-0.093551393,0.055669228,0.059590796,0.047271958,0.408525178,0.409889206,0.39019611,0
-0.001085218,0.111888942,0.09701658,-0.040978225,0.051942291,0.055345916,0.044321128,0.383647829,0.38446174,0.37528674,0
-0.083159114,0.063472869,0.038374833,-0.095416048,0.028039217,0.031960786,0.024117649,0.245294131,0.248627465,0.236666682,0
-0.026957253,0.078464471,0.058385368,-0.104687911,0.152604565,0.15686275,0.125658508,0.8431373,0.8470589,0.824572986,0
0.017419066,0.144864673,0.116775364,-0.036804186,0.246602843,0.25490198,0.20802555,1.0,1.0,0.970998695,0
0.059360399,0.134089175,0.101572842,-0.035028446,0.123155935,0.12941177,0.10588236,0.7490196,0.75294125,0.722829143,0
0.089324608,-0.040970492,-0.018272894,-0.037999585,0.015092098,0.012121213,0.012121213,0.119191928,0.120855623,0.124539519,0
0.036149207,0.096807097,0.066908833,-0.060379966,0.057762056,0.061683623,0.04991892,0.42108214,0.42394224,0.405838158,0
-0.005592287,0.086457547,0.072117193,-0.093493649,0.248509121,0.25490198,0.207959173,1.0,1.0,0.981981718,0
0.027341251,0.143875295,0.110627833,-0.034198252,0.101373986,0.105681988,0.085487334,0.661643054,0.661643054,0.636882802,0
0.021835334,0.112144986,0.080666931,-0.065029,0.101661837,0.10588236,0.085694188,0.6627451,0.6627451,0.639075025,0
0.010052462,0.067792034,0.071547907,-0.009921328,0.021154379,0.019497378,0.018116543,0.168185591,0.170339692,0.169953057,0
0.034640522,0.090109542,0.074862314,-0.076996017,0.248814763,0.25490198,0.211267207,1.0,1.0,0.982967566,0
0.038511812,0.104669607,0.075066796,-0.069568679,0.164997494,0.17254902,0.141226757,0.89019614,0.8941177,0.862322846,0
-0.014379097,-0.061207497,-0.02656695,-0.051839281,0.01546841,0.011982572,0.011764707,0.116775608,0.118300662,0.124400878,0
-0.037220501,0.100915841,0.066378514,-0.089245823,0.125008607,0.132404547,0.104334372,0.760990724,0.764912361,0.732094977,0
-0.002801113,0.092179518,0.053026074,-0.081863417,0.059694992,0.06361656,0.050295679,0.433675717,0.436476846,0.413943388,0
-0.034211036,-0.036144981,-0.016649179,-0.080066591,0.01904762,0.015238096,0.015126051,0.145098046,0.147002807,0.150364151,0
-0.005080765,0.088517509,0.05396331,-0.089334243,0.059316812,0.063238379,0.049426569,0.430953284,0.434282928,0.413244576,0
-0.075898766,0.041018925,0.029254228,-0.068294838,0.020588236,0.023774512,0.019852942,0.187500012,0.190196092,0.183088244,0
0.036695057,0.10714728,0.060900895,-0.07091692,0.062979457,0.066994769,0.051683467,0.456870595,0.457198695,0.433216185,0
-0.048061743,0.099601208,0.067248273,-0.079066789,0.071061532,0.074949295,0.059026373,0.50980395,0.510682923,0.490703205,0
-0.039542523,0.080487249,0.041131515,-0.081697631,0.032142859,0.036064428,0.028151262,0.26743699,0.271288525,0.253851553,0
0.020098042,-0.179654706,-0.123772332,-0.078674301,0.003431373,0.003431373,0.007352942,0.056862749,0.057352945,0.062254905,0
-0.081869288,0.089864518,0.051393932,-0.096684483,0.064000002,0.067960788,0.052392162,0.462549054,0.464078467,0.441960817,0
0.03747591,0.111993092,0.087137686,-0.067468024,0.162956701,0.169389196,0.137395974,0.880716661,0.884638229,0.857751514,0
-0.100363149,0.101448292,0.070511491,-0.062386093,0.051851857,0.055773424,0.044444447,0.38562095,0.386492411,0.371241848,0
-0.047911728,0.101431604,0.060185601,-0.076457412,0.05156446,0.055486028,0.043665695,0.383896577,0.38403564,0.365095273,0
0.012473294,0.11950985,0.102247627,-0.010451643,0.027450982,0.03137255,0.023529414,0.234671082,0.237419843,0.228000751,0
-0.016673357,0.09441301,0.05863871,-0.072613775,0.03969588,0.043697481,0.0344938,0.317406971,0.318287325,0.303481404,0
-0.035632221,0.039065191,0.019660188,-0.089670464,0.02366464,0.027518595,0.021230563,0.211629496,0.214604478,0.204800559,0
-0.006235489,0.078187881,0.041043677,-0.090471182,0.036986087,0.040907655,0.032084125,0.295967758,0.298197354,0.282400401,0
0.013943359,0.036049393,0.037421946,-0.059179346,0.027450982,0.026993466,0.024575165,0.220326814,0.222352958,0.22084969,0
-0.009817706,0.093313723,0.051698775,-0.086499274,0.078398282,0.083047902,0.065855881,0.544320372,0.548225398,0.518193126,0
-0.039437229,0.089111123,0.067043994,-0.085598062,0.098903298,0.102558997,0.083017615,0.644466611,0.644599547,0.628215381,0
-0.006283413,0.083978215,0.039593187,-0.097795391,0.055704104,0.059625672,0.04665776,0.408734432,0.40975939,0.387344063,0
-0.108888883,-0.253724044,-0.192547552,-0.100782848,0.000392157,0.000392157,0.004313726,0.028627453,0.03019608,0.031764708,0
0.007373978,0.117420911,0.089346778,-0.052227206,0.07772227,0.081643835,0.065957564,0.538340078,0.541907095,0.520311603,0
-0.017761445,0.065464319,0.044729026,-0.068849401,0.026691178,0.030563727,0.023210786,0.22982845,0.232352957,0.222377469,0
-0.003224401,0.060081438,0.023567285,-0.110637499,0.047363839,0.051241835,0.039477126,0.359389992,0.362222239,0.343180837,0
-0.001064731,0.119806351,0.075910082,-0.064143665,0.109819743,0.11764707,0.094133473,0.7058824,0.7058824,0.672296022,0
-0.009658662,0.018577526,0.031286315,-0.051284486,0.023093684,0.020261439,0.019535222,0.176833703,0.178794487,0.181118381,0
0.010073464,0.096282692,0.074862367,-0.07837527,0.24793479,0.25490198,0.209002102,1.0,1.0,0.978795284,0
0.010563079,0.088829085,0.053705473,-0.090564388,0.074923886,0.079089029,0.06245281,0.528291345,0.530410455,0.507027188,0
0.029103269,0.123883569,0.091271808,-0.039441903,0.063607845,0.067529415,0.054729416,0.460078468,0.460941213,0.442039249,0
-0.040274943,0.080043593,0.06023291,-0.06376978,0.030764031,0.0346856,0.026842463,0.260040583,0.263826921,0.25233267,0
0.017672183,-0.030997446,-0.00641222,-0.054903948,0.019457014,0.01561086,0.015535445,0.145324291,0.147737563,0.151734544,0
-0.039087501,0.061772088,0.06338685,-0.048723852,0.029680893,0.029450213,0.024836603,0.235601707,0.237677831,0.236447536,0
0.039760401,0.085996356,0.081747997,-0.008012342,0.022331156,0.024400873,0.021023967,0.194771259,0.198257098,0.192810474,0
0.010484751,0.115301975,0.075882042,-0.073260096,0.113235302,0.120588245,0.095996743,0.716707551,0.717647112,0.686070278,0
0.071537976,0.119384768,0.105169087,-0.011344382,0.042371326,0.046231622,0.038419119,0.333578435,0.336213245,0.326378685,0
0.057516337,-0.113708967,-0.079722035,-0.05017954,0.004705883,0.004967321,0.008366014,0.072941181,0.072941181,0.076339872,0
0.053731761,0.10024984,0.091024824,-0.007051722,0.024126986,0.027226892,0.023492066,0.209337084,0.21266108,0.205602258,0
-0.018099533,0.097693787,0.06918702,-0.073950232,0.079185523,0.082654602,0.066666671,0.543740596,0.54645554,0.526093543,0
-0.056535928,0.035945008,0.034229323,-0.071040274,0.024754904,0.025612747,0.022671571,0.203921586,0.207352958,0.202941194,0
-0.013365587,0.103555634,0.065773824,-0.072603975,0.122052352,0.129619078,0.105122232,0.749848832,0.753770481,0.718994576,0
-0.036763433,0.101761305,0.07005436,-0.079147629,0.073476216,0.077367384,0.060738717,0.521234259,0.522663048,0.501778416,0
-0.002287583,-0.062327512,-0.024997191,-0.036384815,0.012368025,0.00882353,0.009653093,0.101734549,0.103318259,0.109125197,0
-0.051999968,0.082097299,0.06978357,-0.091588959,0.124705887,0.1282353,0.104470596,0.74470588,0.748235365,0.733215698,0
-0.003548084,0.08790816,0.071801724,-0.083473705,0.111437917,0.115266116,0.092763781,0.697152224,0.697479028,0.68356678,0
0.018889466,0.098399174,0.077966987,-0.068650197,0.113643065,0.117541082,0.094836025,0.705493776,0.705493776,0.688523825,0
-0.030688403,0.104198525,0.085580243,-0.052444298,0.056661173,0.06050944,0.048781387,0.414037043,0.415869557,0.403994903,0
0.030687848,0.11019222,0.073871023,-0.069826441,0.13622783,0.143884229,0.115966395,0.803921631,0.807843232,0.772175607,0
-0.059985476,0.092527207,0.066940187,-0.08445171,0.10196079,0.10588236,0.085862987,0.6627451,0.6627451,0.64258052,0
0.005920785,0.066814618,0.069352105,-0.027303035,0.02191465,0.022376011,0.019838525,0.186851225,0.189850072,0.187081905,0
0.01563874,0.111704659,0.089957778,-0.041521707,0.049732626,0.053654193,0.04221034,0.372905557,0.374153329,0.36221035,0
-0.033213983,0.100277735,0.069996408,-0.077659159,0.064245527,0.068167097,0.053026432,0.463870452,0.46543908,0.447536266,0
0.068173274,0.109801729,0.072314202,-0.056233474,0.051678303,0.055599871,0.043835164,0.384579632,0.384845501,0.367264892,0
0.039187281,0.10847684,0.084521173,-0.040500125,0.041730607,0.045652178,0.037212278,0.331628307,0.334143233,0.321078438,0
-0.016710219,0.084489235,0.064554601,-0.058125126,0.036732028,0.04019608,0.032614381,0.294052304,0.29627452,0.285620927,0
0.023921584,0.070459186,0.059762021,-0.044704193,0.025686276,0.029063182,0.023638346,0.224858406,0.226623112,0.22047932,0
-0.017878978,-0.032234364,-0.006301356,-0.036029407,0.015559773,0.012017711,0.011891209,0.121948141,0.123592669,0.127893744,0
0.003578055,0.11456644,0.078613957,-0.066627184,0.090396457,0.095176763,0.075769289,0.60397884,0.60535283,0.57987694,0
0.011913264,0.087951859,0.072711222,-0.083527613,0.135650631,0.139215695,0.11345812,0.787522332,0.791443943,0.773796836,0
0.02567049,0.044870005,0.053997799,-0.013953558,0.018931711,0.0168357,0.015686275,0.153414473,0.155780938,0.156119004,0
-0.000356511,-0.131621955,-0.077076493,-0.057468637,0.006773619,0.006773619,0.010695188,0.081639931,0.082352945,0.088770058,0
0.015424839,0.109628431,0.082148404,-0.068381714,0.0985621,0.102512717,0.082120553,0.644212068,0.644212068,0.623819917,0
0.035957922,0.09785816,0.09549391,-0.057725638,0.251480626,0.25490198,0.213652359,1.0,1.0,0.994398487,0
0.057586248,0.099027636,0.061133124,-0.075702344,0.085771207,0.090238022,0.071343194,0.576952933,0.580727734,0.55180877,0
-0.052687185,0.077045941,0.050265491,-0.098611865,0.124839992,0.129472727,0.10504928,0.749263428,0.753185078,0.727298604,0
-0.007843146,0.02178932,0.036268976,-0.013504827,0.01749623,0.01417798,0.013574661,0.138159886,0.139668182,0.142081454,0
0.059404504,0.113237924,0.105581524,-0.020406631,0.077746657,0.080610023,0.068098354,0.534267065,0.537192686,0.528229097,0
0.000400583,0.111388664,0.076958982,-0.054329222,0.056314573,0.06023614,0.048450354,0.412397244,0.413809856,0.395551374,0
0.017585797,0.045112072,0.042477268,-0.057645267,0.025306374,0.026286766,0.023406865,0.20955884,0.212500015,0.20833335,0
0.018659772,0.092433519,0.065305748,-0.081623774,0.163025217,0.169790995,0.138870942,0.881922058,0.885843625,0.85675508,0
-0.032352939,-0.219415494,-0.152748798,-0.071376246,0.001960784,0.001960784,0.005882353,0.043627453,0.044607846,0.049019614,0
0.017506978,0.080997105,0.070072739,-0.046874025,0.042296922,0.045518211,0.037955184,0.328431381,0.331092449,0.322969199,0
-0.007598009,0.073456638,0.040613507,-0.09811197,0.048529417,0.052450985,0.040686277,0.366421584,0.368872568,0.351225505,0
0.009005111,0.027838384,0.031759949,-0.046235674,0.022135078,0.021786494,0.019520698,0.181612209,0.183703714,0.182396524,0
0.010965869,0.114893896,0.07818366,-0.07223027,0.110544671,0.11764707,0.094074087,0.7058824,0.7058824,0.677908514,0
-0.074227943,0.06793986,0.029185543,-0.098688395,0.028988852,0.032987314,0.025067284,0.252287594,0.255747803,0.239292595,0
-0.076946953,0.054610884,0.041716232,-0.076861358,0.027052178,0.030508476,0.023263545,0.230442026,0.232768378,0.225324046,0
0.039382439,0.110545784,0.066424108,-0.07725376,0.10980393,0.11764707,0.093972416,0.7058824,0.7058824,0.671379015,0
0.011503257,0.071628956,0.05511223,-0.052477145,0.027635526,0.03137255,0.023852367,0.24299886,0.245859301,0.236816625,0
-0.005361353,0.094490183,0.071244946,-0.0578258,0.041091221,0.045012791,0.036146635,0.325888042,0.32764991,0.315885203,0
