laplace,butterworth_R,butterworth_G,butterworth_B,IE_FHSABP_G,IE_FHSABP_R,IE_FHSABP_B,IE_GHE_R,HSV_equalized_R,IE_GHE_G,target
-0.058997015,0.117020336,0.083326872,-0.040442679,0.040136056,0.044057625,0.034853944,0.283033229,0.283833549,0.270228105,0
0.020635931,0.107206842,0.08185443,-0.07374703,0.15303657,0.159862221,0.12869105,0.784854337,0.785161702,0.76191846,0
-0.082556345,0.104107344,0.079009312,-0.036023401,0.035904141,0.03982571,0.031895426,0.256034873,0.257864936,0.2467974,0
-0.002165031,0.096657925,0.056506413,-0.088781,0.087867648,0.093772294,0.074153303,0.528609661,0.528854757,0.50385476,0
-0.015971758,0.088450751,0.06345639,-0.083760176,0.091458199,0.095267082,0.076109988,0.54149203,0.541852632,0.52519723,0
0.021859139,0.122559535,0.077368129,-0.080801781,0.171459703,0.18104576,0.142421418,0.848459451,0.850233494,0.808527929,0
-0.105156137,0.077852258,0.048876224,-0.104391718,0.085675383,0.089596955,0.070642706,0.51132901,0.512908524,0.493845343,0
0.07278718,0.140906601,0.122298013,-0.028795167,0.291012644,0.29803923,0.245576164,1.0,1.0,0.98017733,0
0.067506973,0.002650821,-0.000430404,-0.058413623,0.026610646,0.026330534,0.024089638,0.1834734,0.185714296,0.182913172,0
-0.007640607,0.093876961,0.058720927,-0.098749361,0.116431935,0.123032318,0.096906942,0.654929618,0.657332258,0.629494636,0
-0.01377487,0.145524852,0.10357147,-0.034053419,0.05449501,0.058453573,0.045357015,0.35571588,0.357010738,0.337217914,0
-0.002958361,0.116066966,0.072258922,-0.060455204,0.06037152,0.064499487,0.049948406,0.393292082,0.394685271,0.372703841,0
-0.042989465,0.103895307,0.067100763,-0.083078237,0.145439053,0.153316286,0.121568636,0.760716145,0.763341878,0.729855098,0
-0.000634367,0.060289328,0.049274344,-0.071025522,0.050000005,0.053114191,0.04417532,0.330219156,0.330911198,0.324509811,0
0.03812946,0.015550976,0.016379482,-0.058682655,0.029549849,0.029273683,0.027285282,0.200552352,0.204473919,0.200883752,0
-0.030253772,0.105041387,0.064553836,-0.08919989,0.120296776,0.127751287,0.100300309,0.672637384,0.675887674,0.643243262,0
-0.002356442,0.106495227,0.061259476,-0.083969694,0.141097786,0.14901961,0.11797496,0.74509805,0.7490196,0.708833391,0
0.047285809,0.158042746,0.123892422,0.000853228,0.05433007,0.058251637,0.046514165,0.354793036,0.356427024,0.339814824,0
-0.092156875,-0.06047108,-0.030242259,-0.069457978,0.022222224,0.018300654,0.018300654,0.143300661,0.145424844,0.150980397,0
-0.004357308,-0.010682735,-0.008348463,-0.060822828,0.022502336,0.02175537,0.020074698,0.162371622,0.164145665,0.16349207,0
-0.024971183,0.128920386,0.084110699,-0.039822415,0.050230686,0.054209924,0.042272205,0.334140724,0.335121116,0.315628613,0
-0.019914668,0.120858726,0.083163658,-0.055771939,0.052420973,0.056342541,0.044097642,0.345938384,0.347018816,0.329691885,0
0.031475746,-0.107187097,-0.062295448,-0.047021959,0.011455109,0.011042313,0.014963881,0.092260068,0.09473685,0.099174415,0
0.000311801,0.099318778,0.058628009,-0.095392473,0.117790981,0.1254902,0.09811118,0.6666667,0.67058825,0.638172354,0
0.018367686,0.112693959,0.087756808,-0.022147683,0.037807946,0.041729514,0.033886377,0.264454515,0.266063362,0.25480142,0
0.027195674,0.108750702,0.071679625,-0.080618141,0.135968145,0.143596819,0.114154421,0.727144639,0.730943635,0.69761031,0
-0.010321564,0.088913745,0.059298064,-0.099415635,0.184125497,0.192000015,0.153913729,0.874949086,0.878117714,0.847529474,0
0.043996898,0.140747974,0.111834712,-0.037729902,0.200093074,0.207776683,0.168880035,0.909657772,0.909671065,0.882100436,0
-0.042875801,0.078995357,0.058267069,-0.082909382,0.078655464,0.082352942,0.066778715,0.477535049,0.479215715,0.465546249,0
0.037599175,0.105249777,0.069147404,-0.080081732,0.142433776,0.1501871,0.119024108,0.749378853,0.752911241,0.719383342,0
-0.025036964,0.090579412,0.055242363,-0.102321664,0.11030486,0.117131827,0.09227137,0.629655124,0.629826871,0.604222153,0
0.03986932,0.125965085,0.096016689,-0.020185567,0.045944277,0.049865846,0.039484006,0.311186802,0.312549032,0.298864823,0
0.028984613,0.107566735,0.076302325,-0.086844168,0.287417028,0.29803923,0.238258466,1.0,1.0,0.967376939,0
-0.042062473,0.006301717,0.015713485,-0.063850771,0.031982572,0.029368193,0.028409588,0.210196094,0.214030516,0.21394337,0
0.034436313,0.071654475,0.063852195,-0.031327529,0.034150329,0.037091505,0.03014706,0.241544133,0.243586615,0.23799021,0
-0.046078466,0.117609207,0.074877628,-0.069375254,0.064164979,0.068154162,0.052467888,0.415280622,0.415652495,0.394421938,0
-0.055802697,0.164068185,0.131739965,-0.007656959,0.068545069,0.072466639,0.057011044,0.436546413,0.438556625,0.41934424,0
-0.028612925,-0.178551003,-0.130620706,-0.080511763,0.006535948,0.006535948,0.010457517,0.061873642,0.06448802,0.067102399,0
-0.031116509,0.098387187,0.065599646,-0.085441359,0.135071768,0.142348904,0.1134425,0.722943232,0.726783919,0.696988089,0
-0.012315594,0.147006847,0.117903205,-0.020640195,0.06666667,0.07058824,0.055462189,0.427451006,0.428235318,0.412016839,0
-0.048562089,-0.15272215,-0.09664371,-0.057820169,0.008235295,0.008235295,0.012156864,0.076274513,0.079411766,0.083333336,0
-0.003413227,0.080676042,0.049013014,-0.065003001,0.037618012,0.04153958,0.0335512,0.264560655,0.266594059,0.252795946,0
0.021627844,0.084708718,0.057167352,-0.098777963,0.288761848,0.29803923,0.24066933,1.0,1.0,0.97110838,0
-0.093255005,0.098977129,0.054114384,-0.086042515,0.056784318,0.060862748,0.046196083,0.369647075,0.371450997,0.349568638,0
-0.018652579,0.106502809,0.05290804,-0.095860166,0.093966822,0.101960793,0.078582205,0.575012601,0.576520893,0.541277057,0
-0.030549481,0.045714219,0.031407758,-0.077161572,0.040958607,0.044589691,0.036891796,0.285766175,0.286347148,0.279375469,0
-0.010292517,0.126856825,0.094056526,-0.042931845,0.061526749,0.065448318,0.051361132,0.401751414,0.402969766,0.386046101,0
0.056901282,-0.108153685,-0.083009485,-0.100310515,0.023760094,0.020069205,0.020299886,0.154786628,0.156632071,0.161476361,0
0.004578686,0.082159614,0.062593945,-0.093773303,0.182995998,0.188193143,0.152962264,0.866561312,0.87047234,0.848355531,0
0.008052297,0.093641356,0.0534845,-0.091299802,0.104156871,0.10980393,0.087529416,0.604705922,0.606274545,0.577725511,0
0.017211315,-0.018115646,-0.022472954,-0.095457726,0.027015252,0.027886712,0.025272333,0.192374743,0.195206988,0.190849689,0
-0.017999593,0.10550167,0.072699979,-0.09015371,0.180529358,0.188349641,0.149156808,0.866918259,0.870816963,0.836140242,0
-0.045627154,-0.010033843,-0.000229912,-0.059893822,0.023249302,0.020915034,0.019887956,0.161344544,0.163398699,0.164425777,0
0.005189448,0.1034809,0.084285858,-0.070159052,0.200855098,0.206221449,0.168715914,0.906236256,0.906560596,0.886864289,0
-0.092220169,-0.009590331,-0.00212669,-0.077901553,0.028463,0.026438964,0.025173943,0.19063885,0.193168895,0.193548404,0
-0.002992823,0.037492734,0.038834332,-0.055592933,0.031578949,0.030856555,0.02765738,0.213622308,0.217543877,0.214344701,0
