laplace,butterworth_R,butterworth_G,butterworth_B,IE_FHSABP_G,IE_FHSABP_R,IE_FHSABP_B,IE_GHE_R,HSV_equalized_R,IE_GHE_G,target
-0.027187014,0.103996388,0.065911931,-0.065253209,0.035501511,0.039215688,0.03137255,0.34509805,0.34509805,0.329072403,0
0.021134081,0.100265209,0.063463902,-0.074948161,0.092624745,0.098039225,0.078431375,0.73333335,0.73333335,0.704175184,0
-0.06687232,0.098926623,0.050369681,-0.078160828,0.019784094,0.023661602,0.016126901,0.222956615,0.226217247,0.209649721,0
0.03570897,0.116532595,0.087578805,-0.0535859,0.20000002,0.20784315,0.170776099,1.0,1.0,0.968251785,0
-0.050882856,0.088428286,0.060304204,-0.093661241,0.08627451,0.09019608,0.07058824,0.68235296,0.68235296,0.660286815,0
-0.01528027,0.097834404,0.058440468,-0.076348576,0.039334523,0.043137256,0.033511588,0.3803922,0.38431376,0.362388602,0
0.018518484,-0.001806878,-0.014143474,-0.07116965,0.008496733,0.01135621,0.007843138,0.118300663,0.120669943,0.115277787,0
-0.020568614,0.103448787,0.055742916,-0.086100197,0.06666667,0.07058824,0.054901965,0.57254905,0.5764706,0.54272552,0
-0.056505632,0.082871092,0.052751836,-0.098410453,0.077541949,0.081544373,0.064847385,0.642126561,0.642126561,0.620416434,0
-0.031027945,0.058976125,0.038227474,-0.078528297,0.015686275,0.019607844,0.015686275,0.193725506,0.195365436,0.187771848,0
0.002483629,0.143382921,0.101254078,-0.03051061,0.028067228,0.031876752,0.02414566,0.287282921,0.290364154,0.272380966,0
-0.005844774,0.10407025,0.066882969,-0.058832589,0.030155512,0.03398693,0.026143793,0.300833905,0.304665324,0.28722111,0
-0.003610339,0.078828207,0.063702167,-0.077287535,0.03669468,0.040616248,0.032773111,0.357703105,0.359477145,0.349953319,0
0.027748075,0.104840878,0.059564591,-0.079235146,0.114379095,0.122281648,0.098455149,0.837611491,0.837611491,0.797623368,0
-0.002820777,-0.121422153,-0.098924723,-0.090255995,0.003921569,0.002683179,0.004540764,0.066047476,0.067285866,0.068730654,0
0.012888613,0.096739598,0.055838013,-0.087500796,0.091698741,0.098039225,0.078394725,0.73333335,0.73333335,0.699835095,0
0.018993161,0.089629738,0.069134878,-0.074072379,0.074276383,0.078197948,0.062628387,0.625817013,0.625933726,0.611181145,0
0.022935919,0.105492925,0.07642752,-0.06881934,0.129646492,0.13725491,0.1101417,0.8862746,0.8862746,0.858720551,0
0.02189881,0.093746491,0.058977952,-0.066593078,0.043137256,0.04705883,0.036426119,0.42352945,0.427451,0.405862171,0
-0.009375701,0.086249343,0.055057104,-0.079943999,0.050980397,0.054901965,0.043137256,0.47058827,0.47058827,0.452918671,0
-0.081366363,0.073336319,0.041630814,-0.10228333,0.03510914,0.039030708,0.03118757,0.343433233,0.343618213,0.330225682,0
-0.020775976,0.097699036,0.066785401,-0.091036852,0.118272851,0.123571138,0.099144774,0.841802336,0.841802336,0.813892443,0
-0.056489255,0.087184336,0.044887425,-0.094888462,0.043137256,0.04705883,0.03529412,0.42352945,0.427451,0.403137289,0
-0.00530566,0.067784074,0.036565316,-0.070547324,0.012149174,0.015993849,0.012072281,0.167858522,0.171472517,0.160092278,0
0.009417115,0.100259031,0.042075769,-0.073970627,0.02537015,0.027851142,0.021448581,0.25730293,0.258663474,0.240096053,0
0.013984045,0.097029536,0.063135981,-0.071296228,0.07450981,0.078431375,0.0627451,0.627451,0.627451,0.603856951,0
-0.077001666,-0.00292494,-0.011135704,-0.085155353,0.009436275,0.010539217,0.007843138,0.120833341,0.122794125,0.118872558,0
0.003552849,0.087630834,0.065274543,-0.084817605,0.07363835,0.077559916,0.061974194,0.621350783,0.621786511,0.605966162,0
-0.008681689,0.095759049,0.035899643,-0.086334904,0.024121349,0.027192011,0.020384759,0.253459128,0.25490197,0.235812075,0
-0.085228777,0.08233109,0.038908637,-0.106688488,0.045133692,0.049055264,0.037290555,0.435508059,0.438431396,0.413761175,0
-0.000536862,0.077987264,0.027286992,-0.093581336,0.023634456,0.026365548,0.019712886,0.238480408,0.239565843,0.223967105,0
0.039014569,-0.054990515,-0.040661691,-0.048353987,0.006334842,0.004826546,0.004223228,0.079487181,0.081598794,0.081900454,0
-0.015492608,0.093813065,0.050603195,-0.057820903,0.016122005,0.019317357,0.015395788,0.183224412,0.186129276,0.172766892,0
0.006599707,0.006189255,-0.00461897,-0.079798288,0.010329987,0.012625539,0.009469154,0.140028702,0.14251555,0.13725491,0
-0.076395675,0.073924912,0.030594804,-0.099717024,0.016779171,0.01973642,0.015429123,0.197749936,0.199164272,0.187078122,0
0.00321877,0.097755323,0.052467538,-0.084871673,0.08366013,0.09019608,0.070672575,0.68235296,0.68235296,0.649251544,0
0.085764392,0.006741399,0.012480291,-0.063177266,0.014442851,0.012434243,0.010999523,0.144619806,0.14681971,0.146724062,0
0.024803074,0.100251491,0.076554555,-0.07900097,0.201273692,0.20784315,0.16862746,1.0,1.0,0.974660691,0
-0.017665341,0.099323886,0.07616368,-0.077964918,0.10588236,0.10980393,0.087042858,0.7843138,0.7843138,0.763787922,0
-0.051382602,-0.197202048,-0.177594198,-0.142601732,0.0,0.0,0.002714932,0.031070891,0.033182506,0.031975869,0
-0.004071798,0.081944002,0.03245111,-0.087990611,0.022267299,0.024678839,0.01834573,0.228397583,0.231124651,0.215167925,0
-0.062483632,0.073739367,0.055013884,-0.093711583,0.075196082,0.07911765,0.063137258,0.624901983,0.625784332,0.611176492,0
0.012634938,0.143864931,0.100903933,-0.03119563,0.043137256,0.04705883,0.035338183,0.42352945,0.427451,0.402247226,0
-0.021732034,0.064219666,0.038827512,-0.073721496,0.013921569,0.017843138,0.013921569,0.176666674,0.180196085,0.169607849,0
-0.06289035,0.07061651,0.051357254,-0.085374744,0.022832246,0.026753814,0.019520698,0.250283233,0.250980401,0.243311563,0
-0.005825746,0.081491977,0.054411548,-0.087135437,0.058638262,0.062559829,0.050795126,0.520364399,0.520364399,0.504492857,0
-0.009991954,0.019866404,0.01744901,-0.072532175,0.013859791,0.013913511,0.011710987,0.149073334,0.151383299,0.148804733,0
-0.007533147,0.093151219,0.052318397,-0.053402234,0.013503134,0.017343845,0.013422277,0.173195883,0.177117451,0.163290891,0
0.035835587,0.089138004,0.083411576,-0.076453834,0.205004531,0.20784315,0.17218804,1.0,1.0,0.992124096,0
-0.037610987,0.080155856,0.051893525,-0.08841747,0.043137256,0.04705883,0.035321165,0.42352945,0.427451,0.408654529,0
-0.004858881,0.105759484,0.057545469,-0.084831766,0.072138628,0.078522574,0.062213105,0.627876597,0.627876597,0.594026482,0
-0.054774779,0.088765001,0.04583973,-0.095485102,0.050980397,0.054901965,0.043137256,0.47058827,0.47058827,0.446740896,0
0.011911056,0.083278674,0.060012664,-0.055498001,0.020632135,0.024553704,0.019666375,0.227275404,0.230172684,0.219666389,0
0.014122777,0.107764783,0.047134262,-0.091889169,0.066512883,0.072971938,0.056478282,0.588658236,0.591541729,0.551211087,0
0.036000494,0.097300844,0.06388176,-0.083401503,0.20000002,0.20784315,0.16862746,1.0,1.0,0.964606921,0
0.015501427,0.108852197,0.102375714,-0.055457477,0.204911883,0.20784315,0.172014262,1.0,1.0,0.991047784,0
-0.01936542,0.080830883,0.064573259,-0.086835619,0.113829383,0.117750949,0.095675893,0.818750891,0.818750891,0.803376252,0
0.007338331,0.087251142,0.079439886,-0.071715835,0.133349281,0.137238969,0.1137255,0.886242717,0.886242717,0.87696485,0
-0.033594789,0.08851899,0.059368675,-0.083619163,0.058823533,0.0627451,0.050980397,0.52156866,0.52156866,0.505154103,0
0.012254907,0.094957291,0.053647136,-0.083518621,0.064171126,0.068092695,0.053520504,0.556328017,0.559001801,0.530169369,0
-0.004323773,0.073867397,0.021680387,-0.107671046,0.034389142,0.036862747,0.029019609,0.323921578,0.32627452,0.305942697,0
0.031941027,0.105823208,0.068741928,-0.066113031,0.103911363,0.10980393,0.089440361,0.7843138,0.7843138,0.752032311,0
-0.0343405,0.129526036,0.089667481,-0.040965741,0.028254582,0.032176151,0.024333014,0.288428166,0.292124728,0.27428481,0
-0.034832779,0.058782041,0.023718614,-0.057942315,0.009919263,0.013610151,0.009919263,0.140715117,0.143483283,0.133102659,0
-0.033287736,0.082146922,0.044299235,-0.091450853,0.043137256,0.04705883,0.03529412,0.42352945,0.427451,0.405517588,0
0.014177969,-0.086176558,-0.057217226,-0.08044501,0.007993968,0.004223228,0.004374058,0.096530928,0.098793371,0.102111621,0
-0.035539207,0.095585381,0.055046181,-0.07490478,0.03779412,0.041715688,0.032941178,0.367598071,0.370098065,0.350000008,0
-0.040614074,0.082295569,0.061532542,-0.096059769,0.105973559,0.109895129,0.087004104,0.784708997,0.784708997,0.766377933,0
-0.027634795,0.087957461,0.052234419,-0.08756335,0.058823533,0.0627451,0.050765936,0.52156866,0.52156866,0.501531888,0
-0.037797077,0.08865014,0.054269573,-0.092455001,0.058823533,0.0627451,0.049576654,0.52156866,0.52156866,0.500824447,0
-0.043183937,0.071508875,0.028987874,-0.099107345,0.027142859,0.029831934,0.022633055,0.274649866,0.277030819,0.260560237,0
-0.037665011,0.08407383,0.050740504,-0.082977276,0.025490198,0.029411766,0.021568629,0.27120339,0.273164175,0.259784711,0
0.001204748,0.100630885,0.057444458,-0.080707831,0.09019608,0.098039225,0.078431375,0.73333335,0.73333335,0.698690776,0
0.015297761,0.103659257,0.099938074,-0.059219289,0.205196401,0.20784315,0.17254902,1.0,1.0,0.993425653,0
0.037091506,0.102799102,0.048877547,-0.085436158,0.082549022,0.088823533,0.0704902,0.678627471,0.678627471,0.639901988,0
-0.022121659,0.102136758,0.049530769,-0.080685399,0.050980397,0.054901965,0.043137256,0.47058827,0.47058827,0.442634533,0
-0.011068745,0.118264819,0.063272088,-0.074454833,0.058732756,0.0627451,0.04753087,0.52156866,0.52156866,0.49028688,0
-0.056644881,-0.114082189,-0.081111944,-0.06063263,0.00174292,0.001597676,0.004647785,0.059404506,0.061437912,0.063035589,0
0.007643048,0.101197633,0.046555785,-0.07982475,0.039215688,0.043137256,0.032352943,0.3803922,0.38431376,0.357633061,0
-0.03335949,-0.0111578,-0.01884407,-0.06590294,0.007686275,0.00909804,0.00627451,0.10807844,0.109960793,0.106509811,0
