laplace,butterworth_R,butterworth_G,butterworth_B,IE_FHSABP_G,IE_FHSABP_R,IE_FHSABP_B,IE_GHE_R,HSV_equalized_R,IE_GHE_G,target
0.039733233,0.092497218,0.049140989,-0.092334055,0.0627451,0.06666667,0.051119742,0.627451,0.6313726,0.596874712,0
-0.05768392,0.069824791,0.041736979,-0.108053511,0.023529414,0.027283394,0.019607844,0.28902298,0.292776952,0.278531948,0
0.041835366,0.075478876,0.072443532,-0.083633778,0.16862746,0.17254902,0.143086852,1.0,1.0,0.993807267,0
0.039125299,0.149386054,0.104684346,-0.032987723,0.023529414,0.027450982,0.019607844,0.2901961,0.29411766,0.274822713,0
-0.038340012,0.084735775,0.034821447,-0.11895732,0.055777655,0.05988959,0.044850564,0.576622927,0.580544484,0.545783376,0
-0.021584341,0.09943985,0.078106525,-0.033736653,0.003921569,0.007843138,0.003921569,0.112941186,0.114729422,0.108517655,0
-0.060814866,0.072473733,0.045609159,-0.111180263,0.02697453,0.030749497,0.022943011,0.319882726,0.320505778,0.308960977,0
-0.000680321,0.091753869,0.062524334,-0.088871513,0.09411766,0.098039225,0.078467821,0.8117648,0.8117648,0.785159342,0
0.018930927,0.09829838,0.058487456,-0.084999919,0.026015408,0.029866948,0.022093839,0.311939787,0.313445386,0.296673683,0
0.001260074,0.086211628,0.050776202,-0.109266165,0.07450981,0.078431375,0.06023671,0.6901961,0.6901961,0.665006203,0
-0.056644916,0.024922861,0.013158154,-0.074797062,0.004481793,0.007376285,0.003921569,0.094864621,0.097198889,0.091876756,0
0.040626837,0.096998322,0.063085672,-0.086156725,0.07450981,0.078431375,0.062700537,0.6901961,0.6901961,0.66457221,0
0.02254904,0.124129242,0.085240352,-0.058141977,0.017728759,0.02140523,0.015359478,0.247957525,0.247957525,0.235784329,0
-0.070193621,0.073957016,0.028008072,-0.124119168,0.048982618,0.052904185,0.040621534,0.527192028,0.528153918,0.500258998,0
0.02679353,0.118484818,0.073086892,-0.074352529,0.043137256,0.04705883,0.035305654,0.45882356,0.46274513,0.434948129,0
-0.026534231,0.07874977,0.039534084,-0.099961688,0.019404126,0.023325696,0.015686275,0.261522794,0.261522794,0.248943224,0
-0.040784311,-0.115479173,-0.095087019,-0.093518375,0.002156863,0.000196078,0.002156863,0.045686279,0.048039221,0.048235299,0
0.016816795,0.08583532,0.048871889,-0.103353839,0.047138321,0.050980397,0.039295179,0.5137255,0.5137255,0.491706438,0
-0.006304954,0.086572536,0.074681835,-0.090386258,0.11024491,0.1137255,0.091188287,0.8705883,0.8705883,0.858366864,0
0.020342548,0.097154441,0.059684854,-0.09236893,0.1066266,0.1137255,0.09019608,0.8705883,0.8705883,0.835723559,0
0.011357459,0.096068972,0.063580348,-0.090552352,0.164728514,0.17254902,0.137420823,1.0,1.0,0.966395233,0
0.00062564,0.127835063,0.083278725,-0.051534732,0.011764707,0.015686275,0.011764707,0.18823531,0.19215688,0.176821557,0
-0.046623139,0.021675067,0.006134035,-0.097932811,0.004066812,0.007770516,0.003994191,0.108714605,0.110965877,0.104720414,0
-0.005748672,0.092808389,0.052924256,-0.073947431,0.007843138,0.011764707,0.007843138,0.142780759,0.146702323,0.134893055,0
-0.006450683,0.083070047,0.038995028,-0.106813417,0.048081848,0.052003415,0.040210289,0.52088663,0.521398137,0.495822701,0
-0.022222221,-0.017426968,-0.000153375,-0.037408274,0.003828198,0.000280112,0.0,0.059663869,0.061437911,0.063211954,0
-0.079589671,0.058992671,0.026577679,-0.117080779,0.011764707,0.015686275,0.011764707,0.183370578,0.187093584,0.175130311,0
0.006111265,0.081500459,0.047877567,-0.104219701,0.04710847,0.050980397,0.039265328,0.5137255,0.5137255,0.493157968,0
-0.092031232,0.074756628,0.030261909,-0.117777313,0.016968326,0.020814481,0.013499247,0.239969845,0.239969845,0.226847678,0
0.008278885,0.089427474,0.044737933,-0.111389487,0.063888891,0.06789216,0.05187909,0.633986948,0.637500048,0.603758188,0
0.010328225,0.119003496,0.078322621,-0.072291449,0.081447963,0.08627451,0.066795953,0.7490196,0.75294125,0.716311169,0
-0.0872965,0.067588505,0.024023445,-0.116154797,0.017540108,0.021390376,0.015044564,0.244777194,0.244919796,0.231372564,0
0.041305514,0.090160077,0.056477048,-0.092017992,0.047071319,0.050980397,0.039228177,0.5137255,0.5137255,0.493980299,0
-0.025414202,0.083634744,0.057551754,-0.106515708,0.096443241,0.100410406,0.080209761,0.820656724,0.820656724,0.797172896,0
0.022032689,0.095778497,0.059170654,-0.078456776,0.027450982,0.03137255,0.023529414,0.3254902,0.3254902,0.310823538,0
-0.035196125,0.121916212,0.077896613,-0.063574014,0.011764707,0.015686275,0.011764707,0.173382364,0.17568628,0.163186282,0
-0.018981886,0.085357769,0.04724675,-0.11185292,0.047169297,0.050980397,0.039243305,0.5137255,0.5137255,0.491466471,0
-0.000640026,0.081742232,0.074655483,-0.082998532,0.11072323,0.113667316,0.093884925,0.870390476,0.870390476,0.862919719,0
-0.005555555,0.040886179,0.032797949,-0.042814838,0.001348039,0.003676471,0.000367647,0.080269609,0.083333334,0.07794118,0
-0.040355729,0.107544162,0.067918078,-0.074261624,0.009165528,0.013087096,0.009165528,0.161240317,0.16192431,0.152257188,0
0.016594078,0.093216615,0.064557519,-0.085818764,0.164894046,0.17254902,0.141196286,1.0,1.0,0.968389831,0
-0.040038575,0.088302671,0.052352817,-0.10193838,0.07450981,0.078431375,0.061999359,0.6901961,0.6901961,0.663477989,0
0.011733791,0.07558593,0.045420021,-0.079629273,0.008330434,0.012205593,0.008307229,0.157906955,0.157906955,0.150435092,0
-0.098276868,-0.331119,-0.230227703,-0.073008451,0.0,0.0,0.0,0.007843138,0.009269163,0.011051694,0
0.019892029,0.12708687,0.085074936,-0.053134766,0.015720376,0.019641945,0.015038364,0.229360629,0.229360629,0.217152617,0
-0.015249117,0.079445691,0.034685267,-0.1114256,0.03529412,0.039215688,0.029191015,0.40784317,0.41176474,0.387469195,0
-0.025811063,0.07674217,0.063052332,-0.096448532,0.072085565,0.07529412,0.060534762,0.675008931,0.676648877,0.663957235,0
-0.002423448,0.089132056,0.054939501,-0.098750716,0.073981059,0.077902624,0.061907911,0.687376096,0.687552347,0.662084176,0
0.010397421,0.089474437,0.047373914,-0.097656487,0.035316658,0.039215688,0.0302682,0.40784317,0.41176474,0.388190255,0
-0.049564288,0.074476145,0.046567658,-0.109641471,0.031307191,0.034967323,0.027124185,0.361437925,0.361437925,0.349019628,0
-0.079252218,0.081320915,0.044932409,-0.08475297,0.007934337,0.011764707,0.007934337,0.145827641,0.148472418,0.137893304,0
-0.014544658,0.081341689,0.043498561,-0.114828211,0.054901965,0.058823533,0.045973861,0.5686275,0.57254905,0.545634016,0
-0.044470604,0.076330767,0.027193515,-0.123041756,0.035411767,0.039215688,0.027843139,0.40784317,0.41176474,0.385529447,0
0.012852015,0.087339023,0.051788356,-0.097121273,0.061205793,0.065127363,0.050247394,0.61594285,0.619827791,0.59102072,0
-0.031722154,0.079482773,0.05098301,-0.098766166,0.035430919,0.039215688,0.03137255,0.40784317,0.41176474,0.393296891,0
0.000411516,0.04775371,0.048044189,-0.046436595,0.005954975,0.006463327,0.003921569,0.095570087,0.09782136,0.095134358,0
-0.053128641,0.076613777,0.029494149,-0.119312638,0.03137255,0.03529412,0.027450982,0.3647059,0.3647059,0.344626854,0
0.02115246,0.091778045,0.047103664,-0.106369857,0.10588236,0.1137255,0.090166087,0.8705883,0.8705883,0.829753004,0
-0.01859903,0.077114698,0.042246837,-0.092493129,0.015984655,0.019820973,0.015643649,0.23090368,0.23090368,0.220375123,0
0.014570409,0.101813909,0.05685934,-0.083025854,0.031420374,0.03529412,0.027450982,0.3647059,0.3647059,0.345528466,0
0.007656382,0.097706646,0.082356565,-0.078147603,0.168627459,0.17254902,0.140784323,1.0,1.0,0.983585491,0
-0.068282294,0.074633972,0.031056098,-0.124044117,0.043225381,0.047146955,0.035382245,0.460057311,0.463890756,0.438114155,0
0.03466343,0.092578841,0.050547883,-0.097350161,0.07450981,0.078431375,0.062676434,0.6901961,0.6901961,0.658739626,0
0.018031086,0.097218129,0.052928831,-0.098439259,0.162567859,0.17254902,0.13725491,1.0,1.0,0.953495133,0
0.015858515,0.090330148,0.041983897,-0.105248534,0.054901965,0.058823533,0.046050909,0.5686275,0.57254905,0.539795894,0
-0.022346989,0.089095777,0.063373852,-0.087303485,0.074634587,0.078431375,0.062798576,0.6901961,0.6901961,0.668663125,0
-0.059819485,0.109559058,0.078279886,-0.069059027,0.023342672,0.026050422,0.019234361,0.280859024,0.283099915,0.270308141,0
-0.018810237,0.0755427,0.062980388,-0.036521151,0.004253905,0.007643736,0.003855102,0.09518113,0.097241616,0.091724831,0
-0.027316562,0.112975962,0.071541793,-0.062038063,0.009882354,0.013803922,0.009882354,0.164504209,0.164526618,0.155159669,0
-0.009066252,0.141367043,0.096615766,-0.041471345,0.015686275,0.019607844,0.014677512,0.229254161,0.229254161,0.216329377,0
0.005083521,-0.072014129,-0.087264662,-0.132144872,0.00130719,0.004793029,0.00130719,0.082352944,0.084531592,0.078431377,0
0.004969476,0.092125465,0.080490401,-0.015960783,0.004180846,0.007745909,0.003921569,0.099011514,0.100599586,0.095511272,0
