laplace,butterworth_R,butterworth_G,butterworth_B,IE_FHSABP_G,IE_FHSABP_R,IE_FHSABP_B,IE_GHE_R,HSV_equalized_R,IE_GHE_G,target
0.030320228,0.095836159,0.043030635,-0.08532056,0.04705883,0.050980397,0.039844619,0.44705886,0.45098042,0.421396017,0
-0.004499402,0.078645862,0.04876996,-0.101831513,0.10588236,0.10980393,0.086501847,0.7843138,0.78823537,0.757506928,0
-0.04308563,0.090740976,0.05312488,-0.088696569,0.02647059,0.030392158,0.022549021,0.288235307,0.291176485,0.274561422,0
-0.031148081,0.043123421,0.020584306,-0.085654557,0.008595762,0.012240049,0.008476927,0.141810268,0.143077846,0.136621121,0
-0.020143667,0.083278112,0.026450705,-0.100487982,0.031390215,0.03529412,0.027450982,0.3254902,0.32941177,0.304981461,0
0.038850788,0.083826708,0.055073225,-0.086685223,0.19215688,0.20000002,0.16470589,1.0,1.0,0.968585933,0
-0.036873634,0.093116965,0.060483915,-0.088488986,0.068510742,0.072478996,0.056746035,0.603361376,0.607282945,0.581279206,0
0.023945343,0.113752794,0.067674364,-0.0852965,0.09364231,0.100713022,0.078787882,0.747950105,0.74884137,0.710932883,0
-0.011135321,0.101675534,0.051040101,-0.090499459,0.082716048,0.090559189,0.070896882,0.688634704,0.692374748,0.650708076,0
0.017790525,-0.010484176,-0.002067144,-0.049891199,0.00726925,0.004878049,0.003921569,0.092013397,0.093735063,0.0944046,0
-0.041560544,0.087876554,0.051733434,-0.102016289,0.060036389,0.063957957,0.048797257,0.552375209,0.552981635,0.529816073,0
-0.001401283,0.082113554,0.042960617,-0.093133479,0.031717648,0.03529412,0.027450982,0.3254902,0.32941177,0.310588244,0
-0.031545788,0.065846419,0.041088562,-0.120451694,0.116418624,0.12085992,0.096527297,0.845735969,0.845735969,0.822868015,0
-0.05854539,0.059366714,0.030622451,-0.126615737,0.076261999,0.080183565,0.063788071,0.646224457,0.650146057,0.62440553,0
-0.011885105,0.095266905,0.055896426,-0.090852777,0.039164088,0.043059857,0.031449949,0.403147606,0.406991777,0.384700757,0
0.006303592,0.04377333,0.024949804,-0.078579598,0.008627452,0.012418302,0.008540306,0.140740748,0.142265803,0.135860574,0
0.005440032,0.084736396,0.044015462,-0.091575727,0.022380671,0.025589227,0.018459102,0.258150145,0.259695002,0.245038637,0
-0.028245205,0.085195085,0.052680813,-0.089190597,0.059319934,0.063241501,0.051030037,0.548076477,0.548324677,0.527376537,0
-0.046060075,0.086694095,0.03985559,-0.102378366,0.03529412,0.039215688,0.029874423,0.3647059,0.3647059,0.344833674,0
