Dice_coefficient,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/n_estimators,config/max_features,config/bootstrap,logdir
0.8145684165952305,1711717716,,False,1,9b12d_00053,2024-03-29_14-08-36,908.5770466327667,908.5770466327667,9228,PrF-NB-PoselHP1,127.0.0.1,908.5770466327667,1,32,log2,False,9b12d_00053
0.8139334150517662,1711711909,,False,1,9b12d_00028,2024-03-29_12-31-49,620.3941135406494,620.3941135406494,9228,PrF-NB-PoselHP1,127.0.0.1,620.3941135406494,1,13,log2,True,9b12d_00028
0.8134543449817603,1711715270,,False,1,9b12d_00045,2024-03-29_13-27-50,837.947142124176,837.947142124176,6984,PrF-NB-PoselHP1,127.0.0.1,837.947142124176,1,25,sqrt,False,9b12d_00045
0.8133048653653373,1711716017,,False,1,9b12d_00047,2024-03-29_13-40-17,747.0191941261292,747.0191941261292,6984,PrF-NB-PoselHP1,127.0.0.1,747.0191941261292,1,25,log2,False,9b12d_00047
0.8125880755811437,1711710736,,False,1,9b12d_00022,2024-03-29_12-12-16,744.4273178577423,744.4273178577423,6984,PrF-NB-PoselHP1,127.0.0.1,744.4273178577423,1,10,log2,True,9b12d_00022
0.8125733595980162,1711714080,,False,1,9b12d_00039,2024-03-29_13-08-00,738.9469275474548,738.9469275474548,9228,PrF-NB-PoselHP1,127.0.0.1,738.9469275474548,1,20,sqrt,False,9b12d_00039
0.8120257226521695,1711714432,,False,1,9b12d_00041,2024-03-29_13-13-52,665.7225680351257,665.7225680351257,6984,PrF-NB-PoselHP1,127.0.0.1,665.7225680351257,1,20,log2,False,9b12d_00041
0.8117128510462349,1711710317,,False,1,9b12d_00020,2024-03-29_12-05-17,667.070175409317,667.070175409317,10372,PrF-NB-PoselHP1,127.0.0.1,667.070175409317,1,10,sqrt,True,9b12d_00020
0.8107342434034385,1711709233,,False,1,9b12d_00014,2024-03-29_11-47-13,456.84125804901123,456.84125804901123,6984,PrF-NB-PoselHP1,127.0.0.1,456.84125804901123,1,8,sqrt,True,9b12d_00014
0.8107049784210792,1711709650,,False,1,9b12d_00016,2024-03-29_11-54-10,477.047789812088,477.047789812088,10372,PrF-NB-PoselHP1,127.0.0.1,477.047789812088,1,8,log2,True,9b12d_00016
0.809045835661142,1711713341,,False,1,9b12d_00035,2024-03-29_12-55-41,827.7880244255066,827.7880244255066,9228,PrF-NB-PoselHP1,127.0.0.1,827.7880244255066,1,16,log2,False,9b12d_00035
